"iso3","id","airpolDirectQuestion","question","Perceptions","Behavior","Policy","Health","Priority","Inclusion","surveyedCountries","source","surveyTheme","year","repeatedMeasure","countries","Economy","Region.x","Income.group","Lending.category","Region.y","pm25Avg"
"ALB",113,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Employers (e.g. enabling more sustainable commuting such as biking, public transport, etc.",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD","Albania",16
"ALB",103,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Respiratory diseases (eg. Lung diseases)",1,0,0,1,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD","Albania",16
"ALB",106,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - acidification (Acidification (known as acid rain, affecting forests etc.) and eutrophication (increase of organic matter in an ecosystem, such as excessive growth of algae causing fish die-offs in rivers or lakes)",1,0,0,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD","Albania",16
"ALB",110,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Fossil-fuel based energy producers",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD","Albania",16
"ALB",109,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Farmers",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD","Albania",16
"ALB",114,"Yes","In your opinion, at what level should the issue of air pollution be addressed?",0,0,1,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD","Albania",16
"AND",7,"Yes","In the city or area where you live, are you satisfied or dissatisfied with the quality of the following: the quality of air",1,0,0,0,0,1,"Andorra","World Value Survey","governance","2017 - 2021","","Andorra","Andorra","Europe & Central Asia","High income","","Andorra",6.3
"ARG",7,"Yes","In the city or area where you live, are you satisfied or dissatisfied with the quality of the following: the quality of air",1,0,0,0,0,1,"Argentina","World Value Survey","governance","2017 - 2021","","Argentina","Argentina","Latin America & Caribbean","Upper middle income","IBRD","Argentina",13.9
"ARG",96,"Yes","Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Air pollution",1,0,0,0,1,1,"Argentina","Pew Global Attitudes & Trends: Spring 2018 Survey","governance","2018","2008; 2012; 2013; 2014; 2015; 2016; 2017","Argentina","Argentina","Latin America & Caribbean","Upper middle income","IBRD","Argentina",13.9
"ARM",7,"Yes","In the city or area where you live, are you satisfied or dissatisfied with the quality of the following: the quality of air",1,0,0,0,0,1,"Armenia","World Value Survey","governance","2017 - 2021","","Armenia","Armenia","Europe & Central Asia","Upper middle income","IBRD","Armenia",28.8
"AUS",7,"Yes","In the city or area where you live, are you satisfied or dissatisfied with the quality of the following: the quality of air",1,0,0,0,0,1,"Australia","World Value Survey","governance","2017 - 2021","","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUS",1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,0,0,0,1,1,"Australia","ISSP","environment","2020","2010","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUS",5,"Yes","I'd like you to think about some possible environmental problems. Do you think ____ is 
a big problem, a moderate problem, a small problem or not a problem in (survey public)? a. air pollution",1,0,0,0,0,1,"Australia","Pew Research Center: October 2019 International Science Survey","international science","2019","","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUS",3,"Yes","In general, do you think that air pollution caused by industry is …",1,0,0,0,0,1,"Australia","ISSP","environment","2020","1993; 2000; 2010","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUS",2,"Yes","In general, do you think that air pollution caused by cars is …",1,0,0,0,0,1,"Australia","ISSP","environment","2020","1993; 2000; 2010","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUS",4,"Yes","Thinking about your neighbourhood, to what extent, if at all, was it affected by the following things over the last twelve months? a. Air Pollution",1,0,0,0,0,1,"Australia","ISSP","environment","2020","","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUS",95,"Yes","Which statement comes closer to your own views, even if neither is exactly right? We should reduce air pollution even if it means slower economic growth, Air pollution is the price we have to pay for continued economic growth",0,0,0,0,1,1,"Australia","Pew Global Attitudes & Trends: Spring 2021 Survey","governance","2021","2020; 2016","Australia","Australia","East Asia & Pacific","High income","","Australia",9.2
"AUT",1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,0,0,0,1,1,"Austria","ISSP","environment","2020","2010","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",167,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Fossil-fuel based energy producers",0,0,0,0,1,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",106,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - acidification (Acidification (known as acid rain, affecting forests etc.) and eutrophication (increase of organic matter in an ecosystem, such as excessive growth of algae causing fish die-offs in rivers or lakes)",1,0,0,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",164,"Yes","In your opinion, which of the following are or would be the most effective ways of tackling problems of air quality",0,0,1,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",4,"Yes","Thinking about your neighbourhood, to what extent, if at all, was it affected by the following things over the last twelve months? a. Air Pollution",1,0,0,0,0,1,"Austria","ISSP","environment","2020","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",105,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - asthma",1,0,0,1,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",161,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Cardiovascular diseases (heart diseases)",1,0,0,1,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",132,"Yes","And then?",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",158,"Yes","How informed do you feel about air quality problems in (OUR COUNTRY)",1,0,0,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",172,"Yes","There are different ways to reduce harmful emissions into the air. In order to reduce such emissions, have you done any of the 
following in the last two years?",0,1,0,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",104,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Cardiovascular diseases (heart diseases)",1,0,0,1,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",115,"Yes","There are different ways to reduce harmful emissions into the air. In order to reduce such emissions, have you done any of the 
following in the last two years?",0,1,0,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",168,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Large industrial installation",0,0,0,0,1,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",103,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Respiratory diseases (eg. Lung diseases)",1,0,0,1,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",127,"Yes","How much impact do you think each of the following has on air quality in (OUR COUNTRY)? Does it have a large impact, a moderate impact, a little impact or no impact at all? - Emissions from cars and trucks",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",166,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Farmers",0,0,0,0,1,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",102,"Yes","Do you think that, over the last 10 years, the air quality in (OUR COUNTRY) has …?",1,0,0,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",163,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - acidification (Acidification (known as acid rain, affecting forests etc.) and eutrophication (increase of organic matter in an ecosystem, such as excessive growth of algae causing fish die-offs in rivers or lakes)",1,0,0,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",12,"Yes","Please think about the area where you live now – I mean the immediate neighbourhood of your home. Do you have major, moderate or no problems with the following? Air quality",1,0,0,0,0,1,"Austria","European Quality of Life Survey","life","2016","2003; 2007; 2011","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",113,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Employers (e.g. enabling more sustainable commuting such as biking, public transport, etc.",0,0,0,0,1,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",160,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Respiratory diseases (eg. Lung diseases)",1,0,0,1,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",146,"Yes","What do you think should be the main priorities of this new strategy?",0,0,1,0,1,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",112,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Public authorities",0,0,1,0,1,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",171,"Yes","In your opinion, at what level should the issue of air pollution be addressed?",0,0,1,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",131,"Yes","Which of the following car fuel systems do you consider the most environmentally friendly 
from an air quality perspective? Firstly?",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",169,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Public authorities",0,0,1,0,1,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",111,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Large industrial installation",0,0,0,0,1,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",126,"Yes","How much impact do you think each of the following has on air quality in (OUR COUNTRY)? Does it have a large impact, a moderate impact, a little impact or no impact at all? - Agriculture – emissions from farms, fertilizers and burning of agricultural waste",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",2,"Yes","In general, do you think that air pollution caused by cars is …",1,0,0,0,0,1,"Austria","ISSP","environment","2020","1993; 2000; 2010","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",110,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Fossil-fuel based energy producers",0,0,0,0,1,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",165,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Households",0,0,0,0,1,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",114,"Yes","In your opinion, at what level should the issue of air pollution be addressed?",0,0,1,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",109,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Farmers",0,0,0,0,1,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",162,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - asthma",1,0,0,1,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",133,"Yes","Which of the following energy systems for heating of households do you consider the most 
environmentally friendly from an air quality perspective? Firstly?",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",142,"Yes","Do you agree with the ""Polluters Pays Principle""?",0,0,1,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",173,"Yes","The European Union has developed an extensive body of legislation which establishes health based standards and objectives for a 
number of pollutants in air, called 'EU air quality standards' - Have you heard of the EU air quality standards?",1,0,1,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",170,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Employers (e.g. enabling more sustainable commuting such as biking, public transport, etc.",0,0,0,0,1,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",145,"Yes","The EU is analysing the current EU air quality policy with a view to publish a new Strategy – a 
Thematic Strategy on Air Pollution – before the end of 2013. Are you aware of this?",0,0,1,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",107,"Yes","In your opinion, which of the following are or would be the most effective ways of tackling problems of air quality",0,0,1,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",116,"Yes","The European Union has developed an extensive body of legislation which establishes health based standards and objectives for a 
number of pollutants in air, called 'EU air quality standards' - Have you heard of the EU air quality standards?",1,0,1,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",117,"Yes","The existing EU air quality standards date from 2004 and 2008. They are overall not as strict as the latest recommendations by the 
World Health Organization (WHO) of 2021 on air quality - Do you believe that the existing EU air quality standards are adequate or not?",0,0,1,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",129,"Yes","How much impact do you think each of the following has on air quality in (OUR COUNTRY)? Does it have a large impact, a moderate impact, a little impact or no impact at all? - Emissions from industrial production (steel, cement, pulp and paper etc) and from fossil fuel power stations",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",3,"Yes","In general, do you think that air pollution caused by industry is …",1,0,0,0,0,1,"Austria","ISSP","environment","2020","1993; 2000; 2010","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",130,"Yes","Which of the following do you believe are the main threats to air quality in (OUR COUNTRY)? (MAX 3 ANSWERS)",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",147,"Yes","The European Union has developed an extensive body of legislation which establishes health 
based standards and objectives for a number of pollutants in air, called ‘EU air quality 
standards’ - Have you heard of the EU air quality standards",1,0,1,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",143,"Yes","In your opinion, how can air pollution challenges be best addressed?",0,0,1,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",101,"Yes","How informed do you feel about air quality problems in (OUR COUNTRY)",1,0,0,0,0,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",159,"Yes","Do you think that, over the last 10 years, the air quality in (OUR COUNTRY) has …?",1,0,0,0,0,1,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",134,"Yes","And then?",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",139,"Yes","In your opinion, is each of the following currently doing too much, doing about the right 
amount or not doing enough to promote good air quality in (OUR COUNTRY)? - energy producers",0,0,0,0,1,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",128,"Yes","How much impact do you think each of the following has on air quality in (OUR COUNTRY)? Does it have a large impact, a moderate impact, a little impact or no impact at all? - emissions from international transport (e.g. ships and airplanes)",1,0,0,0,0,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",108,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Households",0,0,0,0,1,1,"Austria","Eurobarometer 97.2","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",174,"Yes","The existing EU air quality standards date from 2004 and 2008. They are overall not as strict as the latest recommendations by the 
World Health Organization (WHO) of 2021 on air quality - Do you believe that the existing EU air quality standards are adequate or not?",0,0,1,0,1,0,"Austria","Special Eurobarometer 524: Attitudes of Europeans towards Air Quality","air pollution","2022","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",137,"Yes","In your opinion, is each of the following currently doing too much, doing about the right 
amount or not doing enough to promote good air quality in (OUR COUNTRY)? - households",0,0,0,0,1,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
"AUT",140,"Yes","In your opinion, is each of the following currently doing too much, doing about the right 
amount or not doing enough to promote good air quality in (OUR COUNTRY)? - car manufacturers",0,0,0,0,1,1,"Austria","Flash Eurobarometer 360: Attitudes of Europeans towards air quality","air pollution","2012","","Austria","Austria","Europe & Central Asia","High income","","Austria",10.6
