ID;Title;Authors;Abstract;Author.Keywords;Scopus.Keywords;WOS.Keywords;Perceptions;Behavior;Policy;Health;Priority;Inclusion;reader
117;Influence of environmental variables on thermal comfort and air quality perception in office buildings in the humid subtropical climate zone of Brazil;"de Oliveira, CC; Rupp, RF; Ghisi, E";This study evaluates the influence of environmental variables on users' thermal comfort and air quality perception in the humid subtropical climate of Florianopolis, southern Brazil. A building with central air-conditioning system and three mixed-mode buildings, which alternated between natural ventilation and air-conditioning modes, were investigated. Statistical analyses were performed considering environmental data collected in situ between 2014 and 2016 - using microclimate stations, a portable thermo-anemometer and a CO2 analyser - and users' subjective responses obtained by means of an electronic questionnaire. Results showed a direct influence of air temperature and humidity ratio and indirect influence of air movement on thermal comfort. In addition, thermal, air movement and humidity sensation, preference and acceptability affected thermal comfort and air quality perception, highlighting the importance of carrying out a complete assessment of users' perception of the thermal environment. This work supports the use of the ASHRAE 55 adaptive thermal comfort model for mixed-mode buildings under natural ventilation operation. Based on the results obtained in this study, the use of hybrid ventilation strategy is recommended for energy savings due to reducing the use of air-conditioning and improving indoor air quality as there is a decrease in air pollutants level. (C) 2021 Elsevier B.V. All rights reserved.;"Air temperature; Air movement; Humidity ratio; Carbon dioxide (CO2); Mixed-mode buildings";"Air; Air conditioning; Air quality; Atmospheric temperature; Energy conservation; Indoor air pollution; Office buildings; Thermal comfort; Tropics; Ventilation; Air movement; Air temperature; Carbon dioxide (CO2); Environmental variables; Humidity ratio; Mixed mode; Mixed-mode building; Quality perceptions; Subtropical climates; Thermal; Carbon dioxide";"RELATIVE-HUMIDITY; ENERGY; WARM; MOVEMENT; HOT; VENTILATION; FIELD; PRODUCTIVITY; TEMPERATURE; PERFORMANCE";0;0;0;0;0;0;Andina
121;Social acceptance towards the air pollution in China: Evidence from public's willingness to pay for smog mitigation;"Sun, CW; Yuan, X; Yao, X";Air pollution is one of the most predominant challenges in China. In order to ensure the smog governance projects could be promoted smoothly and the public shoulder the environmental responsibilities consciously, it is necessary for the policymakers to take public attitude into consideration, and understand the public willingness to pay (WTP) for smog mitigation. This paper adopts a CV method framework to assess the value of WTP and analyze the determinants. Given the consideration of the possible presence of the selectivity bias caused by protest responses, the bivariate sample selection model is constructed for estimation. Results show that up to 14% of respondents hold the protest responses, and neglecting the selection bias caused by protest responses would lead to downward biased estimates. The mean value of WTP for the smog mitigation is 1590.36 RMB per year, accounting for about 1% of annual income. Moreover, the NIMBY (not in my backyard) attitude among public is found to be significantly correlated with their WTP, and the other determinants such as household annual income, energy expenditure and economic loss caused by smog could also substantially affect the value of WTP. We further recommend grading governance and policy transparency to address the smog crisis. (C) 2016 Elsevier Ltd. All rights reserved.;"Smog crisis; Willingness to pay; Contingent valuation method; Public acceptance";;"CONTINGENT VALUATION SURVEYS; SAMPLE SELECTION BIAS; HOUSEHOLD-LEVEL SURVEY; NUCLEAR-POWER; QUALITY IMPROVEMENT; EMPIRICAL-ANALYSIS; PROTEST RESPONSES; ECONOMIC-GROWTH; CARBON EMISSION; HEALTH-RISKS";0;0;1;0;0;1;Andina
122;Does public opinion affect air quality? Evidence based on the monthly data of 109 prefecture-level cities in China;"Zhang, SL; Li, Y; Hao, Y; Zhang, YP";In recent years, serious smog and haze have shrouded vast areas of northern and eastern China, which has drawn broad attention at home and abroad. Although China is an authoritarian country with strict media control, public opinion may still affect air quality by putting pressure on the local and central governments to enhance environmental protections. In this paper, the impact of public opinion on air quality in China is for the first time quantitatively examined. Specifically, the monthly average levels of the Air Quality Index (AQI) and the concentrations of several main air pollutants, such as PM2.5, PM10 and SO2, are utilized as indicators for air quality. Using a dataset consisting of 109 prefecture-level Chinese cities for the period between November 2013 and October 2016, the estimation results indicate that air pollution significantly affects public opinion on air quality, and the surge in public opinion on air pollution occurs more frequently in the winter. Public opinion seems to have a positive effect on the environment only in the short run: air quality tends to improve two months after the surge in negative public opinion. In general, public opinion about air pollution helps to improve air quality in China.;"Public opinion; Air quality; Prefecture-level cities; China";"China; Air pollution; Air quality; Particles (particulate matter); Pollution; Air pollutants; Air quality indices; Central government; China; Estimation results; Evidence-based; Prefecture-level cities; Public opinions; air quality; atmospheric pollution; concentration (composition); environmental protection; estimation method; governance approach; haze; smog; Social aspects";"WILLINGNESS-TO-PAY; ECONOMIC-DEVELOPMENT; POLLUTION; PM2.5; MEDIA; COMMUNICATION; CENSORSHIP; EXPOSURE; IMPACT; GROWTH";1;0;0;0;0;1;Andina
226;Inverted quarantine in the face of environmental change: Initiative defensive behaviors against air pollution in China;"Liu, WL; Du, CY; Chu, XP; Wang, ZH";People in China have become concerned with the health threats associated with severe air pollution. As a result, behavioural adjustments and pollutant filtration product implementation have become common means for people to cope with pollution threats in their daily lives. However, a systematic awareness of the basic characteristics and mechanisms of such behaviours is lacking. This paper focuses on how residents engage in inverted quarantine in response to air pollution. We examine in detail their behavioural responses by conducting a questionnaire survey. Results show that individual avoidance behaviours are quite diverse and combined. Masks have been identified as the most widely adopted filtration product with the lowest input costs. High-income groups have a higher tendency to purchase expensive filtering devices compared with low-income groups and prefer to combine multiple protection strategies. In addition to the driving effect of income, individual psychological perception plays an important role in the decision making of households. A lower public confidence in the government further encourages individual self-protection. These findings urge the government to enhance their air pollution control efforts and their timeliness of disclosing pollution information. The significant driving effects of individual cognition factors also call for a proper guidance to achieve a rational public perception of air pollution. Although the health benefits of using pollutant filtering devices have been widely discussed and proven, the increased energy consumption and other environmental impacts resulting from the use of such products are easily neglected. It demands the implementation of stricter market entrance, improved energy efficiency standards and enhanced waste management. (C) 2020 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.;"Inverted quarantine; Air pollution; Defensive behaviour; Protection motivation; Energy consumption; Pollution filtering";"Air navigation; Air quality; Behavioral research; Decision making; Energy efficiency; Energy policy; Energy utilization; Health risks; Surveys; Waste management; Air pollution in chinas; Avoidance behaviour; Basic characteristics; Energy efficiency standards; Environmental change; Filtration products; Protection strategy; Questionnaire surveys; Air pollution control";"PROTECTION MOTIVATION; AVOIDANCE-BEHAVIOR; HEALTH EVIDENCE; EXPOSURE; MORTALITY; ABSENCES; APPEALS; IMPACT";0;1;0;0;0;1;Andina
240;Perceptions of Quality of Life and Pollution among China's Urban Middle Class: The Case of Smog in Tangshan;"Li, XY; Tilt, B";"After decades of rapid economic development, China is facing severe environmental problems. In particular, smog in urban areas has recently attracted a great deal of scientific and media attention both domestically and internationally. Our focus in this article is on public perceptions of smog in the northern city of Tangshan, which is routinely ranked as one of the urban areas with the worst air quality in the nation. In this article, we present the results of qualitative interviews and quantitative surveys with 341 urban residents. We examine how these residents perceive and weigh the importance of various aspects related to quality of life, including their experience with air pollution. Study participants considered environmental quality an issue of lower priority than many others; however, they surprisingly ranked it over economic concerns such as jobs and income. Their responses suggest that, for many urban residents, environmental problems like smog are fundamentally linked to basic quality of life concerns such as physical health and family well-being. We interpret our findings in the context of literature on the rise of China's middle class, the rise of environmental consciousness, and the role of gender in mediating perceptions of pollution and family health. We also consider the implications of these findings for the control and remediation of air pollution in China today.";"smog; public perceptions; quality of life; environmental quality; environmental consciousness; middle class; gender; China";"China; air quality; class; perception; pollution control; quality of life; smog; urban pollution; urban population";"AIR-POLLUTION; ENVIRONMENTAL-PROTECTION; HEALTH; ANTHROPOLOGY; PERSPECTIVES";1;0;0;0;1;1;Andina
242;State of science and knowledge gaps with respect to air pollution impacts on forests: Reports from concurrent IUFRO 7.04.00 working party sessions;"Percy, K; Bucher, J; Cape, J; Ferretti, M; Heath, R; Jones, HE; Karnosky, D; Matyssek, R; Muller-Starck, G; Paoletti, E; Rosengren-Brinck, U; Sheppard, L; Skelly, J; Weetman, G";;;;;0;0;0;0;0;0;Andina
290;Traffic-related air pollution and perceived health risk: Lay assessment of an everyday hazard;Day, RJ;This article examines the perceived risks to health from traffic-related air pollution among residents of four neighbourhoods in a borough of north London. Drawing on interview and survey data, the first part of the discussion presents views on possible health effects in general terms, and perceived effects on respondents themselves and their families. Respiratory and allergic conditions were found to feature most consistently, while increased heart morbidity was associated with greater uncertainty. The article goes on to reflect on the epistemological processes underlying these beliefs, concluding that although these lay beliefs largely parallel current scientific understanding, there is an inherent tension between epistemological loyalties that will be important for those working with environmental health risks to understand.;"risk; lay knowledge; lay epidemiology; air pollution; health; environment";"air pollution; allergic disease; article; environmental exposure; environmental health; epistemology; exhaust gas; hazard assessment; health hazard; health survey; interview; morbidity; respiratory tract disease; United Kingdom";"ENVIRONMENTAL RISK; POPULAR EPIDEMIOLOGY; URBAN; QUALITY; PERCEPTIONS; EXPERTISE";0;0;0;1;0;1;Andina
325;Adoption of Protective Behaviours: Residents Response to City Smog in Hefei, China;"Cheng, P; Wei, JC; Marinova, D; Guo, XM";City smog outbreaks in many Chinese cities aroused public concern about health risks and environmental pollution in China. This study investigates protective behaviours of the citizens in response to city smog using protective action decision to understand their actions. A survey was conducted in Hefei, Anhui in 2015, after the city experienced severe smog events. The data from 429 respondents supported the developed model. Hazard-related attributes were the strongest predictors for willingness to adopt protective behaviours. Public risk perception only positively affected self-protective actions. Information sources affected risk perception and increased the respondents' self-protective intentions. Older adults and respondents with lower educational levels were more likely to adopt environmentally friendly actions. The findings' theoretical and practical implications are also discussed.;;"Anhui; China; Hefei; action plan; decision making; environmental management; hazard assessment; health risk; public health; risk perception; smog";"PRO-ENVIRONMENTAL BEHAVIOR; SOCIAL AMPLIFICATION; RISK PERCEPTIONS; HAZARD; DETERMINANTS; ADJUSTMENT; INTERNET; VALUES";1;1;0;0;0;1;Andina
347;Public Perceptions of How Long Air Pollution and Carbon Dioxide Remain in the Atmosphere;"Dryden, R; Morgan, MG; Bostrom, A; de Bruin, WB";The atmospheric residence time of carbon dioxide is hundreds of years, many orders of magnitude longer than that of common air pollution, which is typically hours to a few days. However, randomly selected respondents in a mail survey in Allegheny County, PA (N = 119) and in a national survey conducted with MTurk (N = 1,013) judged the two to be identical (in decades), considerably overestimating the residence time of air pollution and drastically underestimating that of carbon dioxide. Moreover, while many respondents believed that action is needed today to avoid climate change (regardless of cause), roughly a quarter held the view that if climate change is real and serious, we will be able to stop it in the future when it happens, just as we did with common air pollution. In addition to assessing respondents' understanding of how long carbon dioxide and common air pollution stay in the atmosphere, we also explored the extent to which people correctly identified causes of climate change and how their beliefs affect support for action. With climate change at the forefront of politics and mainstream media, informing discussions of policy is increasingly important. Confusion about the causes and consequences of climate change, and especially about carbon dioxide's long atmospheric residence time, could have profound implications for sustained support of policies to achieve reductions in carbon dioxide emissions and other greenhouse gases.;"Air pollution; atmospheric residence time; carbon dioxide";"Allegheny County; Pennsylvania; United States; Air pollution; Carbon dioxide; Global warming; Greenhouse gases; Pollution; Surveys; Atmospheric residence time; Carbon dioxide emissions; Mail surveys; Mainstream media; National surveys; Orders of magnitude; Public perception; Residence time; atmospheric pollution; carbon dioxide; carbon emission; climate change; emission control; greenhouse gas; perception; questionnaire survey; residence time; Climate change";"GLOBAL CLIMATE-CHANGE; PEOPLE KNOW; CHANGE RISK; KNOWLEDGE; SCIENCE";1;0;0;0;0;1;Andina
356;Designing a comprehensive behaviour change intervention to promote and monitor exclusive use of liquefied petroleum gas stoves for the Household Air Pollution Intervention Network (HAPIN) trial;"Williams K.N.; Thompson L.M.; Sakas Z.; Hengstermann M.; Quinn A.; Diáz-Artiga A.; Thangavel G.; Puzzolo E.; Rosa G.; Balakrishnan K.; Peel J.; Checkley W.; Clasen T.F.; Miranda J.J.; Rosenthal J.P.; Harvey S.A.";Introduction Increasing use of cleaner fuels, such as liquefied petroleum gas (LPG), and abandonment of solid fuels is key to reducing household air pollution and realising potential health improvements in low-income countries. However, achieving exclusive LPG use in households unaccustomed to this type of fuel, used in combination with a new stove technology, requires substantial behaviour change. We conducted theory-grounded formative research to identify contextual factors influencing cooking fuel choice to guide the development of behavioural strategies for the Household Air Pollution Intervention Network (HAPIN) trial. The HAPIN trial will assess the impact of exclusive LPG use on air pollution exposure and health of pregnant women, older adult women, and infants under 1 year of age in Guatemala, India, Peru, and Rwanda. Methods Using the Capability, Opportunity, Motivation-Behaviour (COM-B) framework and Behaviour Change Wheel (BCW) to guide formative research, we conducted in-depth interviews, focus group discussions, observations, key informant interviews and pilot studies to identify key influencers of cooking behaviours in the four countries. We used these findings to develop behavioural strategies likely to achieve exclusive LPG use in the HAPIN trial. Results We identified nine potential influencers of exclusive LPG use, including perceived disadvantages of solid fuels, family preferences, cookware, traditional foods, non-food-related cooking, heating needs, LPG awareness, safety and cost and availability of fuel. Mapping formative findings onto the theoretical frameworks, behavioural strategies for achieving exclusive LPG use in each research site included free fuel deliveries, locally acceptable stoves and equipment, hands-on training and printed materials and videos emphasising relevant messages. In the HAPIN trial, we will monitor and reinforce exclusive LPG use through temperature data loggers, LPG fuel delivery tracking, in-home observations and behavioural reinforcement visits. Conclusion Our formative research and behavioural strategies can inform the development, implementation, monitoring and evaluation of theory-informed strategies to promote exclusive LPG use in future stove programmes and research studies. © 2020 Author(s) (or their employer(s)). Re-use permitted under CC BY. Published by BMJ.;"community child health; public health; qualitative research";"Aged; Air Pollution; Air Pollution, Indoor; Cooking; Female; Guatemala; Humans; India; Infant; Peru; Petroleum; Pregnancy; Rwanda; liquefied petroleum gas; petroleum; adult; air pollution; Article; awareness; behavior change; clinical observation; clinical trial protocol; conceptual framework; cooking; cost; family; female; Guatemala; heating; household; human; India; interview; kitchen; monitoring; motivation; multicenter study; perception; pilot study; publication; questionnaire; reinforcement; Rwanda; safety; temperature; training; videorecording; aged; indoor air pollution; infant; Peru; pregnancy";;0;1;0;0;0;1;Andina
