,DOI,Title,Authors,Year,Source Title,Volume,Issue,Abstract,Author Keywords,Scopus Keywords,WOS Keywords,Source
252,10.3389/fbuil.2023.1124248,Exploring environmental policy adoption enablers for indoor air quality management in higher educational institutions in South Africa,Ndou M.; Aigbavboa C.,2023,,9.0,,"Purpose: This study seeks to investigate the extent to which the indoor air quality (IAQ) management of higher educational institutions (HEIs) in South Africa could be improved through the appropriate implementation of environmental policy adoption enablers. Multiple challenges have been documented to the improvement of IAQ standards in HEIs. However, an alternative to the management of IAQ is possible through environmental behavioral change. Research Methodology: A philosophical stance of post-positivism influences the adoption of a quantitative research approach for this study. Primary data on the views shared by various academic and administrative staff employed by HEIs across South Africa were collected using a closed-ended questionnaire survey. A literature review uncovered 16 influential environmental policy adoption enablers that could further the objective of the study. A four-phase data analytical approach was adopted to interpret the empirical data through screening and reliability assessment, together with descriptive and inferential statistical evaluations, to ascertain the influence held by the surveyed policy adoption enablers on improving the management of IAQ in HEIs. Results: The inferential statistical evaluation using exploratory factor analysis revealed three crucial environmental policy adoption metrical approaches (stakeholder dialogue, institutional commitment, and policy composition) to the management of IAQ in HEIs. Discussion: From a practical perspective, the administrative council of HEIs could consider the identified policy adoption enablers as a catalyst for pro-environmental behavior and the management of IAQ in all respective institutions. Theoretically, this study contributes to the body of knowledge by providing factors associated with environmental policy adoptions for IAQ management and laying the groundwork for future research in environmental behavior, this has been lacking in previous IAQ studies and current environmental management discourse. As an instrumental enabler, the identified policy adoption approaches could inform any existing or new institutional policy adoption initiative aimed at improving current individuals’ perception of workplace comfort, satisfaction, and performance directly associated with their indoor environmental conditions. Copyright © 2023 Ndou and Aigbavboa.",environment; indoor air quality (IAQ); policy; quality education; well-being,,,Scopus
124,10.1016/j.trd.2024.104359,Exploring impacts of perceived and actual air pollution on commuters' mode choice,"Dabirinejad, S; Habibian, M; Khorsandi, B",2024,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,135.0,,"Since people's decisions are usually based on their perception, Air Pollution Perception (APP) can affect travel mode changes. This research examines the effects of APP and actual air pollution on commuters' mode choice by developing a hybrid choice model. During a cross-sectional survey in Karaj, the fourth most populous city in Iran, 768 valid questionnaires were gathered including 2795 trips. The results show that APP had a negative effect on choosing public transit. Moreover, the findings indicate that commuters are more likely to use their cars when they feel less in control over air pollution. The findings may be useful in planning policies to manage people's perception of air pollution in order to make public transit more desirable for car commuters, especially in polluted urban areas.",Travel behavior; Air pollution perception; Hybrid choice model; Mode choice; Actual air pollution,Actual air pollution; Air pollution perception; Choice model; Cross-sectional surveys; Hybrid choice model; Mode changes; Mode choice; Public transit; Travel behaviour; Travel modes; atmospheric pollution; perception; public transport; transportation mode; travel behavior,QUALITY PERCEPTION; INJURY SEVERITIES; CAR OWNERSHIP; BEHAVIOR; TRAVEL; DETERMINANTS; RISK; TRANSPORTATION; ENVIRONMENT; EXPOSURE,WOS
86,10.1016/j.jclepro.2017.01.108,Exploring urban resident's vehicular PM2.5 reduction behavior intention: An application of the extended theory of planned behavior,"Shi, HX; Wang, SY; Zhao, DT",2017,JOURNAL OF CLEANER PRODUCTION,147.0,,"Urban transport sector has become an important haze air pollution emitter due to the amplification of the gasoline-based vehicles which release amounts of fine particulate matter (PM2.5). Regulating resident's PM2.5 reduction behaviors related to vehicle use is an effective measure for PM2.5 emission control. The present study focuses on two types of resident vehicular PM2.5 reduction behaviors (taking public transportation and purchasing electric vehicles) and examines their key predictors and influencing mechanism based on the extended Theory of Planned Behavior (TPB). The data was collected from Chinese urban residents who lived in heavy haze areas. The results indicated that attitude, subjective norm and moral norm have positive effects on each vehicular PM2.5 reduction intention. It was highlighted that the differentiated perceived behavioral control components (self-efficacy and perceived control) and their moderating effects were inconsistent across two behaviors. Regarding to the behavior of taking public transportation, self-efficacy affected the intention positively and directly, while perceived control affected intention indirectly by moderating the relationship between subjective norm and intention. For purchasing electric vehicles, self-efficacy and perceived control didn't affect intention directly. Instead, self-efficacy moderated the relationship between moral norm and intention, and perceived control moderated the relationship between subjective norm and intention. The results confirm the appropriateness of the extended TPB model in predicting resident intentions to participate in vehicular PM2.5 reduction behaviors. The conclusions would be helpful for policy makers to take effective measures to reduce PM2.5 emissions and mitigate haze pollution. (C) 2017 Elsevier Ltd. All rights reserved.",Haze pollution; Vehicular PM2.5 reduction behavior; Public transportation; Electric vehicle; Extended theory of planned behavior,,FINE PARTICULATE MATTER; ELECTRIC VEHICLES; PUBLIC TRANSPORTATION; SOURCE APPORTIONMENT; ENERGY-CONSUMPTION; AIR-QUALITY; MODE USE; EMISSIONS; CAR; PURCHASE,WOS
227,10.13284/j.cnki.rddl.003300,Exposure characteristics and residents' perception of air pollution in neighborhood parks: The case of the Guangzhou Central Urban Area; [社区公园空气污染暴露特征及其居民感知:以广州市中心城区为例],Wenyue Y.; Xin L.; Yingmei M.; Huiling C.,2021,,41.0,1,"Neighborhood parks are green spaces where nearby residents can have their recreational activities. However, in many cases, land use planning and park design do not consider the relationship between the park location, its shape and size, and distance to the main road, traffic, and air pollution, which may expose residents using the park to the risks of air pollution. Meanwhile, existing research has paid less attention to the air pollution of green park spaces, especially at the neighborhood level. Based on air pollution monitoring and survey data, this study explored the spatial characteristics of air pollution in 33 neighborhood parks in the central urban area of Guangzhou, China, as well as the influencing factors, and residents' perception of air pollution when using the neighborhood park. The main conclusions are the following: 1) The air pollution exposure risks and their spatial pattern distribution in neighborhood parks in various districts are quite different, and the proportion of parks with low exposure risk is relatively small; 2) the Air Quality Index (AQI), PM1.0, and PM10 are significantly negatively associated with the area of neighborhood parks, while AQI, PM1.0, PM10, and PM2.5 are significantly positively associated with the patch shape index. In addition, the carbon dioxide (CO2) index is significantly negatively associated only with the distance from the urban main roads. However, there is almost no correlation between primary and secondary road density within the 1 km buffer zone of the neighborhood boundary and the degree of air pollution. 3) More than one-third of the residents' subjective perception of the air pollution level is better than the objective measurement, which indicates that they overestimated the air quality of the neighborhood park. This may have possibly led them to more exposure to the bad air environment when they do some physical activities there. When there are possible traffic pollution sources around neighborhood parks, residents' subjective perceptions of air quality are low. 4) Alternative activity spaces and accessibility of neighborhood parks affect the risk of residents' exposure to air pollution. If there is no alternative activity space around the residence, or the nearest neighborhood park is more accessible, residents would be more inclined to head to the neighborhood park for physical activity, even if they perceive the risk of air pollution exposure. In addition, this study has some policy insights. Neighborhood parks can help to suppress the diffusion of particulate matter, but most of them are small and have limited effects on mitigating traffic air pollution. To maximize the ecological service function of neighborhood parks and their role in air pollution purification, neighborhood parks covering larger areas, having higher accessibility and fuller shapes, and being far away from main traffic roads should be promoted. It is necessary to implement targeted space optimization and air pollution control strategies, such as control traffic around neighborhood parks with more serious air pollution; increase protective green spaces, the number of street trees, and road greening; optimize building planning and layout; and improve non-motorized travel environments. © 2021 Editorial Committee of Tropical Geography. All rights reserved.",Air quality; Exposed air pollution; Health; Neighborhood park; Residents' perception,,,Scopus
136,10.1080/01292986.2021.1892787,Exposure to online news about air pollution and public trust in regulators in China: a moderated mediation analysis of perceived risk and perceived news credibility,"Huang, Q",2021,ASIAN JOURNAL OF COMMUNICATION,31.0,2,"Public trust in regulators is critical to the effective management of environmental risks. This study proposes a model to explicate how people's online news exposure, perceived risk, and perceived news credibility influence their trust in regulators concerning the issue of air pollution in China. An online survey showed that perceived risk fully mediated the relationship between online news exposure and trust in regulators. Through moderating the association between online news exposure and perceived risk, perceived news credibility also moderated the indirect effect: the negative indirect effect of online news exposure on trust in regulators via perceived risk was stronger when the level of perceived news credibility was high than when it was low. The results suggest that online news that attempts to make the public more conscious of air pollution hazards reduces public trust in regulators, especially when people perceive the news as highly credible. News media are supposed to inform the public of the issue and thus help air pollution management. However, the findings alert us that the amplification of public risk perception resulting from frequent online news exposure and the subsequent decline in public trust in regulators might impede the effective regulation of air pollution.",Online news exposure; perceived risk; perceived news credibility; trust in regulators; air pollution,,,WOS
102,10.1016/j.jtrangeo.2021.103085,Extending the dimensions of personal exposure assessment: A methodological discussion on perceived and measured noise and air pollution in traffic,"Marquart, H; Ueberham, M; Schlink, U",2021,JOURNAL OF TRANSPORT GEOGRAPHY,93.0,,"Background: The exposure to air pollution and noise is severely impacting people's health and is especially high alongside urban road- and rail-traffic. In traditional exposure research, air pollution and noise are monitored with stationary measurement devices or based on models. During the last years, mobile measurement techniques with GPS-tracking have increased. Moreover, studies have investigated another dimension of personal exposure: the perceived exposure. Aim: Most of these studies make use of quantitative methods such as surveys, complemented by stationary or wearable sensors. Little research exist that applies qualitative methods to examine how people experience and perceive exposure on-the-move, contrasting it to actual measurements. The aim of this paper is to discuss the potential of a novel method, which extends the dimensions of personal exposure by including the situational context of exposure perception. Methods/case study: Firstly, different methods for exposure research are presented. Secondly, we introduce a novel mixed-method approach, exploring cyclists and pedestrians perceived and measured exposure on-the-move by combining mobile interviews (Go-/Ride-Alongs) and wearable sensors. We will present the methodological findings using a case study and have a quantitative method (smartphone questionnaire, wearable sensors) as a reference. Results and discussion: The differences of perceived and measured exposure, proven through the reference method, are a result of different situational contexts as shown by the mobile interviews (knowledge, embodied experience, life situation, activities). The methodological findings show, that mobile methods complemented by wearables introduce new dimensions of personal exposure: they shed light on the situational contexts that affect exposure perception during commute. Conclusion: We argue that both, perceived and measured exposure to air pollution and noise, need to be considered simultaneously. Complementing mobile interviews or surveys with wearable sensor data improves the understanding of urban dwellers requirements for healthier mobility. Potentials of these methods should be investigated further, both in research and for supporting urban transport planning decisions adapted to people's needs.",Mobile interview; Wearable sensors; Mixed-methods; Air pollution; Noise; Perception,atmospheric pollution; GPS; noise pollution; perception; pollution exposure; sensor; traffic emission; urban transport,PARTICULATE MATTER; WEARABLE SENSORS; HEALTH; PERCEPTION; EXPERIENCE; WALKING; CITY; NEIGHBORHOOD; INFORMATION; ANNOYANCE,WOS
332,10.4040/jkan.19201,Factors Influencing Health Behavior Related to Particulate Matter in Older Adults,"Park, MK; Kim, GS",2020,JOURNAL OF KOREAN ACADEMY OF NURSING,50.0,3,"Purpose: This study aimed to investigate health behavior related to particulate matter (PM) in older adults and examine the factors affecting it. Methods: A cross-sectional survey design was used. Data were collected from 150 voluntary older adult participants from Songpa-gu in Seoul. The survey questions measured service perception and experience related to PM, risk perception related to PM, attitude toward risk of PM, and health behavior related to PM. Results: The average score for health behavior related to PM was 79.37, ranging from 51 to 115. There was a significant positive correlation between health behavior related to PM and risk perception related to PM (r=.58, p<.001) as well as between health behavior related to PM and attitude toward risk of PM (r=.70, p<.001). Multiple linear regression revealed that health behavior related to PM was predicted by levels of the existence of disease related to PM (beta=.14, p=.019), service experience related to PM (beta=.20, p=.021), risk perception related to PM (beta=.20, p=.019), and attitude toward risk of PM (beta=.44, p<.001). The model including these variables accounted for 47.0% of health behavior related to PM. Conclusion: Korean older adults have the low level of health behavior related to PM. The findings of this study emphasize that risk perception and attitude toward risk of PM should be evaluated, and the underlying diseases related to PM and their service experience should be considered in developing intervention to improve health behavior related to PM.",Aged; Particulate Matter; Health Behavior; Perception; Attitude,,TERM EXPOSURE; AIR-POLLUTION; MORTALITY; RISK; ATTITUDES; LITERACY; MODEL,WOS
334,10.47102/annals-acadmedsg.2020614,Factors influencing protective behaviours during haze episodes in Singapore: A population-based study,"Ng, KYY; Yeung, W; Sou, KL; Lim, JX; Liang, S; Lee, RKJ; Fong, NJM; Lua, A; Look, X; Ann-Lee, J; Leong, YH; Chong, C; Ang, KY; Lie, C; Chin, A; Sng, JGK; Tai, BC",2021,ANNALS ACADEMY OF MEDICINE SINGAPORE,50.0,7,"Introduction: Haze is a recurrent problem in Southeast Asia. Exposure to haze is linked to ophthalmic, respiratory and cardiovascular diseases, and mortality. In this study, we investigated the role of demographic factors, knowledge and perceived risk in influencing protective behaviours during the 2013 haze in Singapore. Methods: We evaluated 696 adults in a cross-sectional study. Participants were sampled via a 2-stage simple random sampling without replacement from a large residential district in Singapore in 2015. The questionnaire measured the participant's knowledge, perceived risk and behaviours during the Southeast Asian haze crisis in 2013. Reliability and validity of the questionnaire were assessed using comparative fit index (>= 0.96) and root mean square error of approximation (<= 0.05). We performed structural equation modelling to examine the relationship between the hypothesised factors and protective behaviours. Results: More than 95% of the individuals engaged in at least 1 form of protective behaviour. Knowledge was strongly associated with protective behaviours via direct effect (beta=0.45, 95% CI 0.19-0.69, P<0.001) and indirect effect through perceived risk (beta=0.18, 95% CI 0.07-0.31, P= 0.002). Perceived risk was associated with protective behaviours (beta=0.28, 95% CI:0.11-0.44, P=0.002). A lower household income and ethnic minority were associated with protective behaviours. A lower education level and smokers were associated with lower knowledge of haze. A higher education and ethnic minority were associated with a lower perceived risk. Wearing of N95 masks was associated with other haze-related protective behaviours (beta= 0.24, 95% CI 0.08-0.37, P=0.001). Conclusion: Knowledge was associated with protective behaviours, suggesting the importance of public education. Efforts should target those of lower education level and smokers. The wearing of N95 masks correlates with uptake of other protective behaviours.",Haze; knowledge; N95 mask; protective behaviour; risk perception,,AIR-POLLUTION; RISK PERCEPTIONS; HEALTH; MORTALITY; FIRES,WOS
297,10.3390/ijerph191710482,Fetal Exposure to Air Pollution in Late Pregnancy Significantly Increases ADHD-Risk Behavior in Early Childhood,"Liu, BQ; Fang, XY; Strodl, E; He, GH; Ruan, ZL; Wang, XM; Liu, L; Chen, WQ",2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,19.0,17,"Background: Air pollution nowadays has seriously threatened the health of the Chinese population, especially in the vulnerable groups of fetuses, infants and toddlers. In particular, the effects of air pollution on children's neurobehavioral development have attracted widespread attention. Moreover, the early detection of a sensitive period is very important for the precise intervention of the disease. However, such studies focusing on hyperactive behaviors and susceptible window identification are currently lacking in China. Objectives: The study aims to explore the correlation between air pollution exposure and hyperactive behaviors during the early life stage and attempt to identify whether a susceptible exposure window exists that is crucial for further precise intervention. Methods: Based on the Longhua Child Cohort Study, we collected the basic information and hyperactivity index of 26,052 children using a questionnaire conducted from 2015 to 2017, and the Conners' Parent Rating Scale-revised (CPRS-48) was used to assess hyperactive behaviors. Moreover, the data of air pollution concentration (PM10, PM2.5, NO2, CO, O-3 and SO2) were collected from the monitoring station between 2011 to 2017, and a land-use random forest model was used to evaluate the exposure level of each subject. Furthermore, Distributed lag non-linear models (DLNMs) were applied for statistic analysis. Results: The risk of child hyperactivity was found to be positively associated with early life exposure to PM10, PM2.5 and NO2. In particular, for an increase of per 10 mu g/m(3) in PM10, PM2.5 and NO2 exposure concentration during early life, the risk of child hyperactivity increased significantly during the seventh month of pregnancy to the fourth month after birth, with the strongest association in the ninth month of pregnancy (PM10: OR = 1.043, 95% CI: 1.016-1.071; PM2.5: OR = 1.062, 95% CI: 1.024-1.102; NO2: OR = 1.043, 95% CI: 1.016-1.071). However, no significant associations among early life exposure to CO, O-3 and SO2 and child hyperactive behaviors were observed. Conclusions: Early life exposure to PM10, PM2.5 and NO2 is associated with an increased risk of child ADHD-like behaviors at the age around 3 years, and the late-prenatal and early postnatal periods might be the susceptible exposure windows.",fetal exposure; air pollution; ADHD-like behavior,,DEFICIT HYPERACTIVITY DISORDER; ATTENTION-DEFICIT/HYPERACTIVITY DISORDER; LAND-USE REGRESSION; POLYCYCLIC AROMATIC-HYDROCARBONS; SUBSTANCE USE DISORDERS; REVISED CONNERS PARENT; PRENATAL EXPOSURE; PARTICULATE MATTER; NERVOUS-SYSTEM; SCHOOL,WOS
278,10.3390/ijerph15102297,"Haze Attitudes and the Willingness to Pay for Haze Improvement: Evidence from Four Cities in Shandong Province, China","Yang, F; Ding, L; Liu, C; Xu, LZ; Nicholas, S; Wang, J",2018,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,15.0,10,"Background: Given the health and welfare impacts of haze, haze reduction governance challenges Chinese policy-makers. Surprisingly, there have been no studies of the differences in the public's willingness to pay (WTP) for haze governance within a province. Yet haze reduction policies are implemented at the provincial level. Based on the contingent valuation method, data on WTP for haze governance across four industrial cities in Shandong province were collected using a questionnaire survey. Method: A combination of stratified sampling and non-probability sampling methods were used, yielding a valid sample of 1006 respondents. The Heckman sample selection model was used to analyze factors determining WTP and WTP amount. Results: 53% of respondents were unwilling to pay for haze reduction, while less than 1% of these respondents were satisfied with Shandong's air quality. About half (47%) of the respondents were willing to pay, on average, US$14.14 per household per year for haze governance. We found that there were significant inter-city differences in the WTP and WTP amounts: those with a higher income, education, haze knowledge, and haze concern were WTP; age, marital status, and subjective indicators displayed a negative relationship with WTP amount. About two thirds of the non-payers, and those with poor environmental knowledge, argued that air quality improvement was mainly the responsibility of governments (39.3%) and polluters (25.6%), instead of ordinary citizens. Further, 27% of non-payers said that their income was too low to contribute to a pollution tax and 6.3% claimed that they did not believe the funds would be used effectively for environmental conservation. Conclusions: City-specific differences in WTP may caution against one size fits all policies. The study indicates that the government may need to target policies to specific cities and the characteristics of residents in those cities by age, education, and income groups and residents' subjective evaluation of the government and the haze problem and those responsible for pollution.",contingent valuation method; willingness to pay; haze governance; Shandong province,,CONTINGENT VALUATION; AIR-POLLUTION; RIVER DELTA; QUALITY; MORTALITY; SYSTEM,WOS
235,10.16835/j.cnki.1000-9817.2022.03.012,Haze weather health protection behavior and associated factors in adolescents; [青少年雾霾天气健康防护行为及相关影响因素],Tao L.; Gao Y.; Dou H.; Wu X.; Yan L.; Liu D.; Zhao Y.; Zhao Q.; Wang P.; Zhang Y.,2022,,43.0,3,Objective To investigate adolescent haze weather health protection behavior and to provide scientific basis for behavioral intervention and health guidance for adolescents in haze weather. Methods From June 2015 to April 2016 1 025 adolescents were selected from 22 classes in two middle schools of Baoding City Hebei Province by stratified cluster sampling method. General information questionnaire and the Brief Haze Weather Health Protection Behavior Assessment Scale-Adolescent Version BHWHPBAS-AV were used. Multiple linear regressions were conducted to explore factors affecting adolescent haze weather health protection behavior. Different models were used to confirm associations between influencing factors and BHWHPBAS-AV scores. Results Adolescents had a low overall score of BHWHPBAS-AV 45. 81 ± 13. 16. The score rate of self-adjustment after haze weather was the highest 64.54%. The score rate of obtaining relevant knowledge before haze weather was the lowest 50.28%. Compared with adolescents in urban area rural adolescents had a lower BHWHPBAS-AV score β = - 3.20 P < 0.01. Compared with students living with parents those living without parents had a lower BHWHPBAS-AV score β = - 4.16 P = 0.01. Compared with students never receive physical examination those had received physical examination during the past years had a higher BHWHPBAS-AV score β = 4.44 5.66 9.04 P<0.01. Compared with students with no knowledge of respiratory system diseases those with moderate to sufficient knowledge had a higher BHWHPBAS-AV score β = 9.34 12.19 P<0.01. These associations were stable and consistent.Multiple linear regression analysis showed that residence residence with parents physical examination and knowledge of respiratory diseases were the relevant factors of BHWHPBAS-AV score P < 0. 05. Conclusion Adolescent haze weather health protection behavior level is low and is affected by many factors. Cooperation should be strengthened to conduct behavioral interventions and health guidance on haze health protection for adolescents so as to promote healthy growth of adolescents. © 2022 Journal Office of Chinese School Health(Bengbu). All Rights Reserved.,Adolescent; Behavior; Environmental pollution; Regression analysis; Weather,,,Scopus
59,10.1016/j.eneco.2019.104535,"Haze, health, and income: An integrated model for willingness to pay for haze mitigation in Shanghai, China","Ouyang, XL; Zhuang, WX; Sun, CW",2019,ENERGY ECONOMICS,84.0,,"Most existing studies indicate that residentso willingness to pay (WTP) for environmental protection mainly depends on income and the degree of environmental pollution. However, owing to lack of suitable data, less research has focused on why people have higher or lower WTP for environmental protection, and many questions about their reasons remain unanswered. Based on contingent valuation questionnaires in 16 districts of Shanghai, this study investigates the influencing factors of residentso WTP for haze mitigation. To avoid a multicollinearity problem, we integrate principal component analysis and the probit model to examine the determinants of WTP. Results show that residentso WTP for haze mitigation ranges from 343.31 to 359.48 USD. The major influencing factors of residentso WTP include subjective knowledge of haze impacts, understanding of the frequency and severity of haze, and social trust in haze data published by the government. In particular, we find that owing to anti-haze household expenditure on mitigating the effects of haze pollution on health, residents who considered that the areas they lived in were more influenced by haze pollution do not always have higher WTP for haze mitigation. Results of this study have policy implications for haze mitigation regarding the effect of anti-haze household expenditure. (C) 2019 Elsevier B.V. All rights reserved.",Haze mitigation; Anti-haze household expenditure; Principal component analysis; Probit model; Willingness to pay,,CONTINGENT VALUATION METHOD; AIR-POLLUTION; SOCIAL ACCEPTANCE; NUCLEAR-POWER; QUALITY; PROTECTION; EXTERNALITIES; ELECTRICITY; FORESTS,WOS
224,10.1186/s12939-018-0719-y,Health status and air pollution related socioeconomic concerns in urban China,"Jiao, KS; Xu, MJ; Liu, M",2018,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,17.0,,"Background: China is experiencing environmental issues and related health effects due to its industrialization and urbanization. The health effects associated with air pollution are not just a matter of epidemiology and environmental science research, but also an important social science issue. Literature about the relationship of socioeconomic factors with the environment and health factors is inadequate. The relationship between air pollution exposure and health effects in China was investigated with consideration of the socioeconomic factors. Methods: Based on nationwide survey data of China in 2014, we applied the multilevel mixed-effects model to evaluate how socioeconomic status (represented by education and income) contributed to the relationship between self-rated air pollution and self-rated health status at community level and individual level. Results: The findings indicated that there was a non-linear relationship between the community socioeconomic status and community air pollution in urban China, with the highest level of air pollution presented in the communities with moderate socioeconomic status. In addition, health effects associated air pollution in different socioeconomic status groups were not equal. Self-rated air pollution had the greatest impact on self-rated health of the lower socioeconomic groups. With the increase of socioeconomic status, the effect of self-rated air pollution on self-rated health decreased. Conclusions: This study verified the different levels of exposure to air pollution and inequality in health effects among different socioeconomic groups in China. It is imperative for the government to urgently formulate public policies to enhance the ability of the lower socioeconomic groups to circumvent air pollution and reduce the health damage caused by air pollution.",Health inequality; Air pollution; Mediation; Urban China,,SELF-RATED HEALTH; TEMPORAL VARIATIONS; PM2.5 CONCENTRATION; RISK PERCEPTION; DAILY MORTALITY; TIME-SERIES; ASSOCIATION; EXPOSURE; INEQUALITIES; PARTICULATE,WOS
340,,How Does News Media Exposure Amplify Publics' Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach,"Huang, Q",2020,INTERNATIONAL JOURNAL OF COMMUNICATION,14.0,,"This study examines how the effect of news media exposure on perceived health risks is conditioned by perceived self-relevance and perceived news credibility, based on the issue of air pollution in China. An online survey (N = 1,257) showed that the positive association between news media exposure and perceived health risks was stronger in conditions where perceived self-relevance was high than in conditions where perceived self-relevance was low. Furthermore, in conditions where perceived self-relevance was low, this positive association was stronger in the condition where perceived news credibility was high than the condition where perceived news credibility was low. The conditional media effect approach to public risk perceptions explicates the mechanism of the individual stations in the social amplification of risk framework (SARF) and highlights SARF's individual aspect. Moreover, this approach indicates that individuals have some level of agency to select from numerous news based on perceived self-relevance, whereas this selective exposure is not necessarily accompanied by critical judgment of news credibility. These findings anticipate an ongoing tension between ubiquitous media influence and individual agency.",news media exposure; perceived self-relevance; perceived news credibility; perceived health risks; SARF; air pollution,,ELABORATION LIKELIHOOD MODEL; SOCIAL AMPLIFICATION; SELECTIVE EXPOSURE; PERCEPTION; TRUST; COMMUNICATION; CREDIBILITY; SUPPORT; VALIDATION; ACCEPTANCE,WOS
341,,How Does News Media Exposure Amplify Publics’ Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach,Huang Q.,2020,,14.0,,"This study examines how the effect of news media exposure on perceived health risks is conditioned by perceived self-relevance and perceived news credibility, based on the issue of air pollution in China. An online survey (N = 1,257) showed that the positive association between news media exposure and perceived health risks was stronger in conditions where perceived self-relevance was high than in conditions where perceived self-relevance was low. Furthermore, in conditions where perceived self-relevance was low, this positive association was stronger in the condition where perceived news credibility was high than the condition where perceived news credibility was low. The conditional media effect approach to public risk perceptions explicates the mechanism of the individual stations in the social amplification of risk framework (SARF) and highlights SARF’s individual aspect. Moreover, this approach indicates that individuals have some level of agency to select from numerous news based on perceived self-relevance, whereas this selective exposure is not necessarily accompanied by critical judgment of news credibility. These findings anticipate an ongoing tension between ubiquitous media influence and individual agency. © 2020 (Qing Huang). Licensed under the Creative Commons Attribution Non-commercial No Derivatives (by-nc-nd). Available at http://ijoc.org.",air pollution; news media exposure; perceived health risks; perceived news credibility; perceived self-relevance; SARF,,,Scopus
329,10.3390/su9091579,How Smog Awareness Influences Public Acceptance of Congestion Charge Policies,"Zhou, LY; Dai, YX",2017,SUSTAINABILITY,9.0,9,"Although various studies have investigated public acceptance of congestion charge policies, most of them have focused on behavioral and policy-related factors, and did not consider the moderating influence that individual concern about smog and perceived smog risk may have on public acceptance. This paper takes the congestion charge policy in China, targeted at smog and traffic control, and checks how smog awareness-including smog concerns and perceived smog risks, besides behavioral and policy-related factors-might influence public acceptance of the policy. In this paper, we found both a direct and moderating causal relationship between smog awareness and public acceptance. Based on a sample of 574 valid questionnaires in Beijing and Shanghai in 2016, an ordered logistic regression modeling approach was used to delineate the causality between smog awareness and public acceptance. We found that both smog concerns, such as perceived smog risk, and willingness to pay (WTP) were both directly and indirectly positively correlated with public acceptance. These findings imply that policymakers should increase policy fairness with environmental-oriented policy design and should express potential policy effectiveness of the smog controlling policy to citizens to increase their acceptance level.",sustainable development; smog concerns; perceived smog risks; public acceptance; congestion charge,Beijing [China]; China; Shanghai; congestion; environmental policy; environmental risk; policy making; pollution control; public attitude; regression analysis; smog; sustainable development; willingness to pay,WILLINGNESS-TO-PAY; POLITICAL TRUST; ENVIRONMENTAL TAXATION; AIR-POLLUTION; ATTITUDES; PERCEPTIONS; CHINA; DETERMINANTS; PERSPECTIVE; KNOWLEDGE,WOS
147,10.1080/10410236.2019.1692486,How Social Media Exposure to Health Information Influences Chinese People's Health Protective Behavior during Air Pollution: A Theory of Planned Behavior Perspective,"Yang, QH; Wu, SW",2021,HEALTH COMMUNICATION,36.0,3,"Haze has become one of the most life-threatening problems in China and affects over one billion Chinese people's health. Chinese people have become more dependent on receiving health information from social media, especially Weibo and WeChat, which shapes their health perceptions and behaviors. To investigate how Chinese people's exposure to health information on social media influenced their health protective behaviors in response to haze, particularly wearing a PM2.5 anti-haze mask, we conducted a longitudinal web-based survey of mainland Chinese. The results from the structural equation modeling showed that (a) attitude and descriptive norm positively mediated the relationships between using Weibo for health information and behavioral intention while descriptive norm negatively mediated the relationship between using WeChat for health information and intention, and that (b) attitude, descriptive norm, and injunctive norm significantly predicted behavioral intention and wearing mask, but perceived behavior control did not. Theoretical and practical implications are discussed.",,Air Pollution; China; Health Behavior; Humans; Intention; Social Media; Surveys and Questionnaires; air pollution; article; behavior control; Chinese; haze; human; medical information; social media; structural equation modeling; theoretical study; Theory of Planned Behavior; behavior; China; health behavior; questionnaire,CHANGE INTERVENTIONS; NETWORKING SITES; INJUNCTIVE NORMS; SELF-EFFICACY; COMMUNICATION; INTENTIONS; PARTICIPATE; ATTITUDES; MODEL,WOS
