"ID","Title"
64,"Air pollution perception in ten countries during the COVID-19 pandemic"
73,"MODIFICATIONS OF HEALTH BEHAVIOR IN RESPONSE TO AIR-POLLUTION NOTIFICATIONS IN COPENHAGEN"
75,"Social awareness of air quality information"
79,"Clean air forever? A longitudinal analysis of opinions about air pollution and electric vehicles"
81,"Air Quality Awareness and Behaviors of US Adolescents With and Without Asthma"
84,"Perceptions about air quality of individuals who work outdoors in the San Joaquin Valley, California"
86,"Perceptions of air pollution during the work-related commute by adults in Queensland, Australia"
89,"Longitudinal assessment of thermal and perceived air quality acceptability in relation to temperature, humidity, and CO2 exposure in Singapore"
90,"Occupants' thermal comfort and perceived air quality in natural ventilated classrooms during cold days"
91,"Personal exposure to indoor aerosols as actual concern: Perceived indoor and outdoor air quality, and health performances"
92,"Energy, indoor air quality, occupant behavior, self-reported symptoms and satisfaction in energy-efficient dwellings in Switzerland"
93,"Thermal and perceived air quality responses between a dedicated outdoor air system with ceiling fans and conventional air-conditioning system"
95,"Indoor air quality for sustainable building renovation: A decision-support assessment system using structural equation modelling"
96,"An effect of numerical data through monitoring device on perception of indoor air quality"
97,"Perceived air quality and satisfaction during implementation of an automated indoor air quality monitoring and control system"
98,"Restaurant managers knowledge and intention to improve building ventilation and indoor air quality using control measures in a middle-income country"
99,"Perceived air quality (PAQ) assessment methods in office buildings: A systematic review towards an indoor smellscape approach"
100,"The effect of PM2.5 exposure and risk perception on the mental stress of Nanjing citizens in China"
102,"Air pollution, perceived health risk, and trip decision-making: Environmental justice considerations"
103,"Willingness to pay for environmental protection in China: Air pollution, perception, and government involvement"
104,"Misperception and pro-environmental behaviors of the Chinese public toward air pollution"
115,"Perceived health risk, environmental knowledge, and contingent valuation for improving air quality: New evidence from the Jinchuan mining area in China"
116,"Public participation and policy evaluation in China's smog governance"
118,"Haze, health, and income: An integrated model for willingness to pay for haze mitigation in Shanghai, China"
119,"Distributive justice concerns when combating air pollution: The joint modelling of attitudes and preferences"
120,"Evaluation of cooking energy cost, efficiency, impact on air pollution and policy in Nigeria"
121,"Social acceptance towards the air pollution in China: Evidence from public's willingness to pay for smog mitigation"
122,"Does public opinion affect air quality? Evidence based on the monthly data of 109 prefecture-level cities in China"
123,"Korean perceptions of transboundary air pollution and domestic coal development: Two framing experiments"
124,"Participation in a programme for assisted replacement of wood-burning stoves in Chile: The role of sociodemographic factors, evaluation of air quality and risk perception"
128,"The health policy implications of individual adaptive behavior responses to smog pollution in urban China"
130,"People, place and pollution: Investigating relationships between air quality perceptions, health concerns, exposure, and individual- and area-level characteristics"
136,"A comparison of individual exposure, perception, and acceptable levels of PM2.5 with air pollution policy objectives in China"
138,"Effects of prenatal exposure to particulate matter air pollution on corpus callosum and behavioral problems in children"
139,"Residential surrounding green, air pollution, traffic noise and self-perceived general health"
144,"Objectively measured association between air pollution and physical activity, sedentary behavior in college students in Beijing"
148,"An environmental, economical and socio-political analysis of a variety of urban air-pollution reduction policies for primary PM10 and NOx: The case study of the Province of Milan (Northern Italy)"
149,"Public engagements with smog in urban China: Knowledge, trust, and action"
150,"Stakeholder concerns of air pollution in Hong Kong and policy implications: A big-data computational text analysis approach"
151,"Characterizing air pollution risk perceptions among high-educated young generation in China: How does risk experience influence risk perception"
152,"Community knowledge, attitude and behaviour towards indoor air quality: A national cross-sectional study in Singapore"
153,"Investigating the barriers and pathways to implementing satellite data into air quality monitoring, regulation and policy design in the United Kingdom"
154,"Perceptions of problems and preferences for solutions: The case of poor air quality in central-southern Chile"
155,"Private benefits from ambient air pollution reduction policies: Evidence from the household heating stove replacement program in Chile"
159,"Proximity to busy highways and local resident perceptions of air quality"
160,"The interplay between air pollution, built environment, and physical activity: Perceptions of children and youth in rural and urban India"
164,"Perceptions of volcanic air pollution and exposure reduction practices on the Island of Hawai'i: Working towards socially relevant risk communication"
166,"Outdoor Air Quality Awareness, Perceptions, and Behaviors Among US Children Aged 12-17 Years, 2015-2018"
167,"The public perceptions and willingness to pay: from the perspective of the smog crisis in China"
168,"Willingness to pay to improve air quality: A study of private owners in Klang Valley, Malaysia"
169,"Exploring urban resident's vehicular PM2.5 reduction behavior intention: An application of the extended theory of planned behavior"
171,"Air quality, human behavior and urban park visit: A case study in Beijing"
172,"Predicting the impacts of psychological factors and policy factors on individual's PM2.5 reduction behavior: An empirical study in China"
173,"Air pollution and avoidance behavior: A perspective from the demand for medical insurance"
174,"Roles of socio-physical environments on air quality control policy with respect to knowledge, attitude and intention"
175,"An extended behavior model for explaining the willingness to pay to reduce the air pollution in road transportation"
176,"Does the public haze pollution concern expressed on online platforms promoted pollution control? - Evidence from Chinese online platforms"
178,"Linking urban air pollution with residents' willingness to pay for greenspace: A choice experiment study in Beijing"
179,"Analyzing the cost effectiveness of Santiago, Chile's policy of using urban forests to improve air quality"
180,"Achieving renewable energy, climate, and air quality policy goals: Rural residential investment in solar panel"
181,"The impact of perceived air pollution on labour supply: Evidence from China"
185,"Would it be better to not talk about climate change? The impact of climate change and air pollution frames on support for regulating power plant emissions"
186,"Differentiated effects of risk perception and causal attribution on public behavioral responses to air pollution: A segmentation analysis"
190,"The role of personal air pollution sensors and smartphone technology in changing travel behaviour"
191,"Perception of commuters towards air quality in Delhi"
192,"Differences in public's perception of air quality and acceptability of a clean air zone: A mixed-methods cross sectional study"
193,"Extending the dimensions of personal exposure assessment: A methodological discussion on perceived and measured noise and air pollution in traffic"
194,"The impact of air pollution on behavior changes and outdoor recreation in Chinese cities"
201,"Monetary burden of health impacts of air pollution in Mumbai, India: Implications for public health policy"
202,"Impact of ambient fine particulate matter air pollution on health behaviors: a longitudinal study of university students in Beijing, China"
203,"Using the health beliefs model to explore children's attitudes and beliefs on air pollution"
204,"Young people's behaviour intentions towards reducing PM2.5 in China: Extending the theory of planned behaviour"
205,"Effects of environmental policy on public risk perceptions of haze in Tianjin City: A difference-in-differences analysis"
209,"The role of differences in individual and community attributes in perceived air quality"
212,"Improving air pollution control policy in China-A perspective based on cost-benefit analysis"
213,"Air quality perception of pedestrians in an urban outdoor Mediterranean environment: A field survey approach"
215,"Modeled and perceived RF-EMF, noise and air pollution and symptoms in a population cohort. Is perception key in predicting symptoms?"
216,"Spatial distribution of the public's risk perception for air pollution: A nationwide study in China"
217,"Assessing customers' perceived value of the anti-haze cosmetics under haze pollution"
224,"An assessment of perceptions of air quality surrounding the implementation of a traffic-reduction measure in a local urban environment"
225,"Air pollution and anti-social behaviour: Evidence from a randomised lab-in-the-field experiment"
226,"Inverted quarantine in the face of environmental change: Initiative defensive behaviors against air pollution in China"
227,"Environmental air pollution management system: Predicting user adoption behavior of big data analytics"
228,"Modeling the acceptance of taxi owners and drivers to operate premium electric taxis: Policy insights into improving taxi service quality and reducing air pollution"
229,"Public acceptance of congestion pricing policies in Beijing: The roles of neighborhood built environment and air pollution perception"
230,"How does air pollution influence cycling behaviour? Evidence from Beijing"
231,"Relationships among haze pollution, commuting behavior and life satisfaction: A quasi-longitudinal analysis"
232,"How does air pollution affect travel behavior? A big data field study"
233,"Exploring impacts of perceived and actual air pollution on commuters' mode choice"
234,"Assessing smog risk perception in Lahore metropolitan: A survey-based analysis"
235,"Perceived access to recreational/green areas as an effect modifier of the relationship between health and neighbourhood noise/air quality: Results from the 3rd European Quality of Life Survey (EQLS, 2011-2012)"
237,"Air pollution and willingness to pay for health risk reductions in Egypt: A contingent valuation survey of Greater Cairo and Alexandria households"
239,"Do policy clashes between the judiciary and the executive affect public opinion? Insights from New Delhi's odd-even rule against air pollution"
240,"Perceptions of Quality of Life and Pollution among China's Urban Middle Class: The Case of Smog in Tangshan"
241,"Quantitative Analysis of Health Risk Perception, Exposure Levels, and Willingness to Pay/Accept of PM2.5 during the 2014 Nanjing Youth Olympic Games"
244,"Perception and reality of particulate matter exposure in New York City taxi drivers"
246,"Implementing a context-driven awareness programme addressing household air pollution and tobacco: a FRESH AIR study"
249,"Public perceptions of air quality and quality of life in urban and suburban areas of London"
252,"Impact of air pollution perception on environmental governance satisfaction"
254,"Public concern for air quality: Explaining change in toronto, canada, 1967–1978"
255,"Exposure to online news about air pollution and public trust in regulators in China: a moderated mediation analysis of perceived risk and perceived news credibility"
258,"Air quality: A comparison of students' conceptions and attitudes across the continents"
259,"Poor Air Quality during Wildfires Related to Support for Public Safety Power Shutoffs"
260,"Unveiling Spatial Patterns of Exposure and Risk Perception to Air Pollution: A Case Study in Chilean Patagonia"
261,"A longitudinal study of the links between Local Air Quality Management and Local Transport Planning policy processes in England"
262,"Willingness to pay to reduce health risks related to air quality: evidence from a choice experiment survey in Beijing"
263,"Citizen science on speed? Realising the triple objective of scientific rigour, policy influence and deep citizen engagement in a large-scale citizen science project on ambient air quality in Antwerp"
264,"Internet usage, environmental knowledge, and the surge of air pollution concern in China"
265,"Urban air pollution in China: destination image and risk perceptions"
266,"Concerns, performance, and awareness of people when experiencing haze and dust storms in Kermanshah"
267,"Examining How Communication and Knowledge Relate to Singaporean Youths' Perceived Risk of Haze and Intentions to Take Preventive Behaviors"
268,"How Social Media Exposure to Health Information Influences Chinese People's Health Protective Behavior during Air Pollution: A Theory of Planned Behavior Perspective"
269,"Determinants of Beijing Residents’ Intentions to Take Protective Behaviors against Smog: An Application of the Health Belief Model"
270,"Cognitive and Affective Routes to the Adoption of Protective Behaviors Against Health Risks of PM2.5 in China"
271,"Understanding Behavioral Intention to Use of Air Quality Monitoring Solutions with Emphasis on Technology Readiness"
273,"Visitors' behavioural intention towards an episode of air pollution: a segmentation analysis"
274,"The human dimensions of pollution policy implementation: Air quality in rural China"
275,"“Passing the test” – human behavior and california’s smog check program"
276,"Air Pollution from Industry and Traffic: Perceived Risk and Affect in the Moerdijk Region, The Netherlands"
277,"Public risk perception and intention to take actions on city smog in China"
278,"Public smog knowledge, risk perception, and intention to reduce car use: Evidence from China"
279,"Who is susceptible to perceive higher smog-induced health risk? Comparative analysis between physical and mental health dimensions"
280,"Predicting public smog reduction behavior: Exploring the role of perceived risk and financial incentive policy"
281,"Predicting Intention to Take Protective Measures During Haze: The Roles of Efficacy, Threat, Media Trust, and Affective Attitude"
282,"Public perception of smog: A case study in Ningbo City, China"
283,"Public awareness, perceptions and attitudes on air pollution and its health effects in Muscat, Oman"
284,"Communicating particulate matter risk: the effects of empoweredness and trust in government information on protective behaviour"
285,"Willingness to pay to control PM2.5 pollution in Jing-Jin-Ji Region, China"
286,"Perception of risk from air pollution and reported behaviors: a cross-sectional survey study in four cities"
287,"Beyond under the dome: an environmental documentary amplified public risk perception about air pollution in China"
288,"Introducing forecast-based public health warnings to promote engagement with air quality risk: a survey of citizens' attitudes in Cork, Ireland"
289,"Ambient air pollution perception and coping behaviour among hikers"
290,"Traffic-related air pollution and perceived health risk: Lay assessment of an everyday hazard"
293,"The perception of air pollution and its health risk: a scoping review of measures and methods"
294,"What do we know about indoor air quality in school classrooms? A critical review of the literature"
296,"When you breathe, your heart breaks: air pollution, environmental awareness, and political trust in China"
297,"Protective Behaviors Against Particulate Air Pollution: Self-construal, Risk Perception, and Direct Experience in the Theory of Planned Behavior"
298,"Public perceptions of air pollution and associated health risks in Nevada, USA: applications for health communication"
301,"Does interpersonal trust matter? the influence of interpersonal trust on haze risk perception"
302,"When Do Governments Support Common Goods for Health? Four Cases on Surveillance, Traffic Congestion, Road Safety, and Air Pollution"
303,"Particulate matter pollution in central Bangkok: assessing outdoor workers’ perceptions and exposure"
304,"Trust is in the air: pollution and Chinese citizens' attitudes towards local, regional and central levels of government"
305,"Singapore's willingness to pay for mitigation of transboundary forest-fire haze from Indonesia"
312,"Air pollution in China: health information seeking and protective behaviors"
313,"Urban Goods Movement and Air Quality Policy and Regulation Issues in European Cities"
314,"Prenatal Exposure to Traffic-related Air Pollution and Child Behavioral Development Milestone Delays in Japan"
315,"A survey of PM2.5 preventive behavioral intention and related factors among community elderly in Northern Taiwan"
316,"Estimating the Public Health Impact of Air Pollution for Informing Policy in the Twin Cities: A Minnesota Tracking Collaboration"
317,"Unraveling the nexus: exploring the interplay of mass media, personality traits and social norms in fostering protective behavior against smog"
318,"Analysis of the key influencing factors of haze information dissemination behavior and motivation in WeChat"
319,"Particulate matter source attribution and restaurant mitigation behavioral intentions: an application of attribution theory"
324,"Urban air quality in north-east England: Exploring the influences on local views and perceptions"
325,"Adoption of Protective Behaviours: Residents Response to City Smog in Hefei, China"
326,"Information and avoidance behaviour: The effect of air pollution disclosure on labour supply in China"
327,"Effects of ventilation rate per person and per floor area on perceived air quality, sick building syndrome symptoms, and decision-making"
331,"Students' school-level symptoms mediate the relationship between a school's observed moisture problems and students' subjective perceptions of indoor air quality"
334,"The importance of air quality for underground spaces: An international survey of public attitudes"
338,"WILLINGNESS-TO-PAY FOR AIR-QUALITY - THE CASE OF OUTDOOR EXERCISE"
340,"The power of perception: Health risk attributed to air pollution in an urban industrial neighbourhood"
341,"Acculturation, Ethnicity, and Air Pollution Perceptions"
346,"School Policies and Practices That Improve Indoor Air Quality"
347,"Public Perceptions of How Long Air Pollution and Carbon Dioxide Remain in the Atmosphere"
348,"Change in Public Concern and Responsive Behaviors Toward Air Pollution Under the Dome"
349,"The Effect of Perceived Threats and Response Efficacy on Adaptation to Smog: An Instrumental Variables Design"
353,"Bicycle Commuting and Exposure to Air Pollution: A Questionnaire-Based Investigation of Perceptions, Symptoms, and Risk Management Strategies"
360,"Smoking behaviours and indoor air quality: a comparative analysis of smoking-permitted versus smoke-free homes in Dhaka, Bangladesh"
361,"WILLINGNESS TO PAY FOR AIR QUALITY IMPROVEMENTS FROM USING ELECTRIC JEEPNEYS IN METRO MANILA"
362,"POLICY CHOICES FOR AIR POLLUTION ABATEMENT IN BEIJING: STATUS QUO OR CHANGE"
363,"Knowledge, Attitudes, and Perceptions of Air Pollution in Accra, Ghana: A Critical Survey"
367,"Willingness-to-pay for a Haze Adaptation Program and a Haze Eradication Program in Singapore: The 2015 Transboundary Haze"
368,"The impact of severe air pollution in January 2013 in Beijing on sustained elevation of public environmental concern"
370,"The impacts of the low-carbon city policy on urban air pollution in China"
372,"The ancillary carbon benefits of SO2 reductions from a small-boiler policy in Taiyuan, PRC"
373,"Actual Air Pollution, Environmental Transparency, and the Perception of Air Pollution in China"
374,"Environmental Degradation and Public Opinion: The Case of Air Pollution in Vietnam"
376,"The Benefit of Focusing on Air Pollution Instead of Climate Change: How Discussing Power Plant Emissions in the Context of Air Pollution, Rather than Climate Change, Influences Perceived Benefits, Costs, and Political Action for Policies to Limit Emissions"
377,"Knowledge of the effects of indoor air quality on health among women in Jordan"
380,"TESTING THEORIES OF STATE POLICY-MAKING - THE CASE OF AIR-QUALITY REGULATION"
381,"Examining Patterns of Air Quality Perception: A Cluster Analysis for Southern Chilean Cities"
382,"Left behind in perception of air pollution? A hidden form of spatial injustice in China"
383,"What is the role of activism in air pollution politics? Understanding policy change in Poland"
386,"Impact of 2013 south Asian haze crisis: study of physical and psychological symptoms and perceived dangerousness of pollution level"
387,"Small proportions of actively-smoking patrons and high PM2.5 levels in southern California tribal casinos: support for smoking bans or designated smoking areas"
388,"A behavioral strategy to minimize air pollution exposure in pregnant women: a randomized controlled trial"
390,"Assessing air quality index awareness and use in Mexico City"
394,"Knowledge, attitudes, practices and information demand in relation to haze in China: a cross-sectional study"
395,"Physical activity in an air-polluted environment: behavioral, psychological and neuroimaging protocol for a prospective cohort study (Healthy Aging in Industrial Environment study - Program 4)"
396,"Predicting the protective behavioral intentions for parents with young children that possess different levels of education in Hong Kong using the theory of planned behavior for air polluted with PM2.5"
403,"Short animated video increases knowledge and perceived comfort in clinical counseling on inequitable health impacts of air pollution among interprofessional health learners and clinicians"
404,"Health status and air pollution related socioeconomic concerns in urban China"
405,"Self-care behaviors related to air pollution protection questionnaire: a psychometric analysis"
409,"Traffic-Related Air Pollution, Noise at School, and Behavioral Problems in Barcelona Schoolchildren: A Cross-Sectional Study"
412,"Exposure characteristics and residents' perception of air pollution in neighborhood parks: The case of the Guangzhou Central Urban Area; [社区公园空气污染暴露特征及其居民感知:以广州市中心城区为例]"
413,"The Link between Knowledge, Attitudes and Practices in Relation to Atmospheric Haze Pollution in Peninsular Malaysia"
416,"The mediating role of risk perception in the association between industry-related air pollution and health"
417,"Public awareness and support for environmental protection-A focus on air pollution in peninsular Malaysia"
425,"Measuring the Willingness to Pay for Improved Air Quality: A Contingent Valuation Survey"
430,"Assessment of community awareness and practices concerning indoor air pollutants — Madison county, Alabama, June 2017"
431,"Perception of health risks due to air pollution in adolescents in Mexico City"
433,"Haze weather health protection behavior and associated factors in adolescents; [青少年雾霾天气健康防护行为及相关影响因素]"
438,"Economic valuation and social perception of air pollution in Villavicencio, Colombia; [Valoración económica y percepción social de la contaminación atmosférica en Villavicencio, Colombia]"
440,"Air pollution and the willingness to pay of exposed individuals in downtown Medellín, Colombia"
447,"Air Pollution and Prosocial Behavior in Chinese Adolescents: The Role of Resilience and Interpersonal Relations"
450,"Pediatrician’s Perception of Air Pollution and its Impact on Children’s Health in Indonesia"
451,"MODELLING THE COMMUNITY ADAPTIVE BEHAVIOUR TOWARDS AIR POLLUTION: A CONFIRMATORY FACTOR ANALYSIS WITH PLS-SEM"
452,"The interplay of spatial policy, travel behaviour and air quality in Iskandar Malaysia"
453,"UNINTENDED BENEFITS: LEADERSHIP SKILLS AND BEHAVIORAL CHANGE AMONG GUATEMALAN FIELDWORKERS EMPLOYED IN A LONGITUDINAL HOUSEHOLD AIR POLLUTION STUDY"
455,"Public Perceptions of Urban Air Pollution Risks"
456,"Assessment of willingness to pay for improved air quality using contingent valuation method"
458,"Public acceptability of policies to reduce urban air pollution: A population-based survey experiment; [Aceptabilidad pública de las políticas de reducción de la contaminación atmosférica urbana: Un experimento a partir de encuesta poblacional]"
459,"The influence of green areas on city-dwellers' perceptions of air pollution: The case of Nigde city center"
460,"Application of stochastic choice modeling to policy analysis of public goods: a case study of air quality improvements ( Tampa Bay, Florida)."
461,"Cost-of-illness and willingness-to-pay estimates of the benefits of improved air quality: Evidence from Taiwan"
463,"Policy for better air quality in Asia-Proposal for a policy evaluation method for four ASEAN countries"
471,"School students’ awareness on air pollution and its health effects in the Sultanate of Oman"
476,"Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute"
477,"Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute"
478,"Exploring environmental policy adoption enablers for indoor air quality management in higher educational institutions in South Africa"
480,"How to Improve Environment Performance? The Comparison of Stakeholder Perceptions on How to Improve Air Quality in China"
482,"Developing and Testing the Reliability and Validity of the Brief Haze Weather Health Protection Behavior Assessment Scale-Adolescent Version (BHWHPBAS-AV)"
484,"Severe Air Pollution and Psychological Distress in China: The Interactive Effects of Coping and Perceived Controllability"
485,"When narratives speak louder than numbers: the effects of narrative persuasion across the stages of behavioural change to reduce air pollution"
486,"Adolescent Haze-Related Knowledge Level Study: A Cross-Sectional Survey With Sensitivity Analysis"
487,"A psycho-social-environmental lens on radon air pollutant: authorities', mitigation contractors', and residents' perceptions of barriers and facilitators to domestic radon mitigation"
489,"Association of perceived neighborhood air quality problems with attempt to quit cigarette smoking: a cross-sectional study in Texas"
490,"How teacher behaviors and perceptions, air change rates, and portable air purifiers affect indoor air quality in naturally ventilated schools"
493,"A New Indicator to Assess Public Perception of Air Pollution Based on Complaint Data"
496,"Residents' Perceptions of and Response Behaviors to Particulate Matter-A Case Study in Seoul, Korea"
497,"Risk Perception on Haze Pollution and Willingness to Pay for Self-Protection and Haze Management in Chiang Mai Province, Northern Thailand"
498,"Understanding Perceptions of Health Risk and Behavioral Responses to Air Pollution in the State of Utah (USA)"
506,"Online Questionnaire as a Tool to Assess Symptoms and Perceived Indoor Air Quality in a School Environment"
512,"Effect of Thermal, Acoustic and Air Quality Perception Interactions on the Comfort and Satisfaction of People in Office Buildings"
516,"Knowledge, Attitudes, and Practices (KAP) of the Relationship between Air Pollution and Children's Respiratory Health in Shanghai, China"
517,"Measuring Indoor Air Quality and Engaging California Indian Stakeholders at the Win-River Resort and Casino: Collaborative Smoke-Free Policy Development"
520,"Latino and Non-Latino Perceptions of the Air Quality in California's San Joaquin Valley"
521,"Racial Differences in Perceptions of Air Pollution Health Risk: Does Environmental Exposure Matter?"
522,"Do Individual and Neighborhood Characteristics Influence Perceived Air Quality?"
523,"Neighborhood Perceptions and Cumulative Impacts of Low Level Chronic Exposure to Fine Particular Matter (PM2.5) on Cardiopulmonary Health"
524,"Association between Four-Level Categorisation of Indoor Exposure and Perceived Indoor Air Quality"
525,"Effects of Ventilation Improvement on Measured and Perceived Indoor Air Quality in a School Building with a Hybrid Ventilation System"
526,"Psychosocial Problems, Indoor Air-Related Symptoms, and Perceived Indoor Air Quality among Students in Schools without Indoor Air Problems: A Longitudinal Study"
527,"Risk Reduction Behaviors Regarding PM2.5 Exposure among Outdoor Exercisers in the Nanjing Metropolitan Area, China"
528,"The Theory of Planned Behavior to Predict Protective Behavioral Intentions against PM2.5 in Parents of Young Children from Urban and Rural Beijing, China"
529,"Haze Attitudes and the Willingness to Pay for Haze Improvement: Evidence from Four Cities in Shandong Province, China"
530,"Impact of Air Pollution on Sedentary Behavior: A Cohort Study of Freshmen at a University in Beijing, China"
532,"The Effects of Risk Perceptions Related to Particulate Matter on Outdoor Activity Satisfaction in South Korea"
533,"Assessment of Indoor Air Quality and Users Perception of a Renovated Office Building in Manchester"
534,"Personal and Media Factors Related to Citizens' Pro-environmental Behavioral Intention against Haze in China: A Moderating Analysis of TPB"
535,"The Effects of Social, Personal, and Behavioral Risk Factors and PM2.5 on Cardio-Metabolic Disparities in a Cohort of Community Health Center Patients"
536,"Assessing the Influence of Socioeconomic Status and Air Pollution Levels on the Public Perception of Local Air Quality in a Mexico-US Border City"
537,"Risk Perception of Air Pollution: A Systematic Review Focused on Particulate Matter Exposure"
538,"What Predicts Korean Citizens' Mask-Wearing Behaviors? Health Beliefs and Protective Behaviors against Particulate Matter"
539,"Impact of 4th of July Fireworks on Spatiotemporal PM2.5 Concentrations in California Based on the PurpleAir Sensor Network: Implications for Policy and Environmental Justice"
540,"Investigating Cooking Activity Patterns and Perceptions of Air Quality Interventions among Women in Urban Rwanda"
541,"The Impact of an Authoritarian Personality on Pro-Environmental Behaviour for Air Pollution Mitigation through Interactions with Social Norms"
542,"Pedestrianization Impacts on Air Quality Perceptions and Environment Satisfaction: The Case of Regenerated Streets in Downtown Seoul"
543,"Research on Public Environmental Perception of Emotion, Taking Haze as an Example"
544,"The Impact of Air Pollution Perception on Urban Settlement Intentions of Young Talent in China"
545,"Public Perceptions of Climate Change and Its Health Impacts: Taking Account of People's Exposure to Floods and Air Pollution"
547,"Development and Validation of the Haze Risk Perception Scale and Influencing Factor Scale-A Study Based on College Students in Beijing"
548,"The Influence of Air Pollution on Happiness and Willingness to Pay for Clean Air in the Bohai Rim Area of China"
549,"A Survey on the Knowledge, Attitudes, and Practices of Lebanese Physicians Regarding Air Pollution"
550,"Fetal Exposure to Air Pollution in Late Pregnancy Significantly Increases ADHD-Risk Behavior in Early Childhood"
551,"Verification of the Perception of the Local Community concerning Air Quality Using ADMS-Roads Modeling"
552,"Searching for New Human Behavior Model in the Climate Change Age: Analyzing the Impact of Risk Perception and Government Factors on Intention-Action Consistency in Particulate Matter Mitigation"
553,"Development of an Air Pollution Risk Perception Questionnaire for Running Race Runners Based on the Health Belief Model"
554,"Citizens' Perception on Air Quality in Portugal-How Concern Motivates Awareness"
555,"Public Concern about Air Pollution and Related Health Outcomes on Social Media in China: An Analysis of Data from Sina Weibo (Chinese Twitter) and Air Monitoring Stations"
564,"A Study of the Evolution of Haze Microblog Concerns Based on a Co-Word Network Analysis"
565,"Monitoring Particulate Matter with Wearable Sensors and the Influence on Student Environmental Attitudes"
568,"Public Value of Enforcing the PM2.5 Concentration Reduction Policy in South Korean Urban Areas"
569,"Willingness to Pay for Substituting Coal with Natural Gas-Based Combined Heat and Power in South Korea: A View from Air Pollutants Emissions Mitigation"
570,"Willingness to Pay for Improved Air Quality and Influencing Factors among Manufacturing Workers in Nanchang, China"
571,"A Questionnaire Case Study of Chinese Opinions on the Haze Pollution and Economic Growth"
572,"Determinants of public acceptance for traffic-reducing policies to improve urban air quality"
573,"Experts' perceptions on the particulate matter reduction effects of green open space"
574,"The State of Air Pollution as a Factor Determining the Assessment of a City's Tourist Attractiveness-Based on the Opinions of Polish Respondents"
575,"Does Haze Drive Pro-Environmental and Energy Conservation Behaviors? Evidence from the Beijing-Tianjin-Hebei Area in China"
576,"Individual-Level Determinants of the Public Acceptance of Policy Measures to Improve Urban Air Quality: The Case of the Barcelona Low Emission Zone"
577,"Citizen Science for Transformative Air Quality Policy in Germany and Niger"
578,"Awareness of air pollution and ecosystem services provided by trees: The case study of Warsaw city"
579,"Environmental Awareness and Air Quality: The Mediating Role of Environmental Protective Behaviors"
