"ID","Perceptions","Priority","Policy","Health","Behavior","None","reader"
126,1,0,0,0,1,0,"ChatGPT"
127,1,0,0,0,0,0,"ChatGPT"
128,1,0,0,0,1,0,"ChatGPT"
131,1,0,1,0,1,0,"ChatGPT"
132,1,0,0,1,1,0,"ChatGPT"
134,1,0,0,0,0,0,"ChatGPT"
135,1,0,0,0,0,0,"ChatGPT"
136,0,0,1,0,0,0,"ChatGPT"
137,0,0,0,1,0,0,"ChatGPT"
138,1,0,0,0,1,0,"ChatGPT"
139,1,0,0,1,1,0,"ChatGPT"
140,1,0,0,0,0,0,"ChatGPT"
142,1,0,0,0,0,0,"ChatGPT"
145,1,0,0,0,1,0,"ChatGPT"
146,1,1,0,0,0,0,"ChatGPT"
147,1,0,0,0,1,0,"ChatGPT"
148,1,0,1,0,0,0,"ChatGPT"
150,1,0,0,1,1,0,"ChatGPT"
152,0,0,0,0,1,0,"ChatGPT"
153,1,0,0,1,0,0,"ChatGPT"
154,1,0,0,0,1,0,"ChatGPT"
155,1,0,1,1,1,0,"ChatGPT"
156,1,0,0,1,0,0,"ChatGPT"
157,0,0,0,0,0,0,"ChatGPT"
160,1,0,0,0,1,0,"ChatGPT"
161,1,0,0,0,1,0,"ChatGPT"
163,1,0,0,1,0,0,"ChatGPT"
164,1,0,0,1,1,0,"ChatGPT"
166,0,0,1,1,0,0,"ChatGPT"
169,1,0,0,1,0,0,"ChatGPT"
170,0,0,1,0,0,0,"ChatGPT"
171,1,0,0,1,0,0,"ChatGPT"
172,1,0,1,0,1,0,"ChatGPT"
174,0,0,0,0,1,0,"ChatGPT"
175,1,0,0,0,1,0,"ChatGPT"
176,1,0,0,0,0,0,"ChatGPT"
177,0,0,1,0,0,0,"ChatGPT"
179,1,0,1,0,0,0,"ChatGPT"
180,0,0,0,0,1,0,"ChatGPT"
181,1,0,0,0,0,0,"ChatGPT"
182,1,0,0,0,0,0,"ChatGPT"
184,1,0,0,1,1,0,"ChatGPT"
186,1,0,0,0,0,0,"ChatGPT"
187,1,1,1,0,0,0,"ChatGPT"
188,1,0,0,0,1,0,"ChatGPT"
190,1,0,0,0,1,0,"ChatGPT"
191,0,0,1,0,0,0,"ChatGPT"
192,1,0,1,0,0,0,"ChatGPT"
193,1,0,0,0,1,0,"ChatGPT"
194,1,0,0,0,0,0,"ChatGPT"
195,1,0,0,0,1,0,"ChatGPT"
196,0,0,1,0,0,0,"ChatGPT"
197,0,0,1,0,0,0,"ChatGPT"
198,1,0,0,0,1,0,"ChatGPT"
199,1,0,0,0,0,0,"ChatGPT"
206,0,0,1,0,0,0,"ChatGPT"
207,1,0,1,0,0,0,"ChatGPT"
208,1,0,0,0,1,0,"ChatGPT"
210,1,0,0,0,1,0,"ChatGPT"
212,1,0,0,0,1,0,"ChatGPT"
213,1,0,0,0,0,0,"ChatGPT"
216,1,0,0,0,0,0,"ChatGPT"
217,1,0,0,1,1,0,"ChatGPT"
219,1,0,0,1,0,0,"ChatGPT"
220,1,0,0,0,1,0,"ChatGPT"
222,0,0,0,1,1,0,"ChatGPT"
223,1,0,0,0,0,0,"ChatGPT"
225,1,0,1,0,0,0,"ChatGPT"
227,1,0,0,1,0,0,"ChatGPT"
231,1,0,0,0,1,0,"ChatGPT"
232,0,0,0,0,0,0,"ChatGPT"
233,1,0,0,0,0,0,"ChatGPT"
235,1,0,0,0,1,0,"ChatGPT"
236,1,0,0,1,1,0,"ChatGPT"
237,1,0,0,1,0,0,"ChatGPT"
238,1,0,0,0,0,0,"ChatGPT"
242,1,0,0,0,1,0,"ChatGPT"
243,0,0,1,0,0,0,"ChatGPT"
244,1,0,0,0,1,0,"ChatGPT"
245,1,0,0,0,1,0,"ChatGPT"
246,1,0,0,0,0,0,"ChatGPT"
248,0,0,0,0,1,0,"ChatGPT"
249,1,0,0,1,0,0,"ChatGPT"
250,1,0,0,0,0,0,"ChatGPT"
251,1,0,0,1,0,0,"ChatGPT"
252,1,0,0,0,0,0,"ChatGPT"
253,1,0,0,0,0,0,"ChatGPT"
254,1,0,0,1,1,0,"ChatGPT"
255,1,0,0,0,0,0,"ChatGPT"
257,1,0,1,0,1,0,"ChatGPT"
258,1,0,0,1,1,0,"ChatGPT"
259,1,0,0,0,1,0,"ChatGPT"
262,1,0,0,0,1,0,"ChatGPT"
263,1,0,1,0,1,0,"ChatGPT"
266,1,0,0,1,1,0,"ChatGPT"
267,1,0,1,0,0,0,"ChatGPT"
268,0,0,1,0,0,0,"ChatGPT"
269,0,0,0,0,1,0,"ChatGPT"
270,0,0,1,0,0,0,"ChatGPT"
271,0,0,0,0,1,0,"ChatGPT"
272,1,0,0,1,0,0,"ChatGPT"
274,1,0,0,1,1,0,"ChatGPT"
275,0,0,0,1,0,0,"ChatGPT"
276,0,0,0,0,0,0,"ChatGPT"
277,0,0,1,0,1,0,"ChatGPT"
279,1,0,0,1,0,0,"ChatGPT"
280,1,0,0,1,0,0,"ChatGPT"
281,1,0,0,0,0,0,"ChatGPT"
282,1,0,1,0,0,0,"ChatGPT"
283,0,0,0,1,1,0,"ChatGPT"
285,0,0,0,0,1,0,"ChatGPT"
287,0,0,0,0,1,0,"ChatGPT"
288,1,0,0,1,1,0,"ChatGPT"
289,1,0,1,0,0,0,"ChatGPT"
291,1,0,0,1,0,0,"ChatGPT"
292,1,0,0,1,0,0,"ChatGPT"
293,1,0,0,1,0,0,"ChatGPT"
296,1,0,0,1,0,0,"ChatGPT"
297,1,0,1,0,1,0,"ChatGPT"
298,1,0,1,0,0,0,"ChatGPT"
299,0,0,0,1,0,0,"ChatGPT"
300,0,0,0,1,1,0,"ChatGPT"
301,0,0,0,0,1,0,"ChatGPT"
304,0,0,0,0,0,1,"ChatGPT"
306,0,0,1,0,0,0,"ChatGPT"
307,0,0,1,0,0,0,"ChatGPT"
308,1,0,0,1,0,0,"ChatGPT"
310,1,0,0,1,1,0,"ChatGPT"
311,1,0,0,0,1,0,"ChatGPT"
313,1,0,0,0,1,0,"ChatGPT"
314,1,0,0,1,0,0,"ChatGPT"
316,1,0,0,1,0,0,"ChatGPT"
318,1,0,0,1,1,0,"ChatGPT"
319,0,0,0,0,0,1,"ChatGPT"
320,1,0,0,0,0,0,"ChatGPT"
321,1,0,0,0,0,0,"ChatGPT"
322,0,0,0,0,1,0,"ChatGPT"
323,0,0,0,0,0,1,"ChatGPT"
326,1,0,0,0,0,0,"ChatGPT"
327,1,0,1,0,0,0,"ChatGPT"
328,0,0,0,0,1,0,"ChatGPT"
329,1,0,0,1,1,0,"ChatGPT"
333,1,0,0,0,0,0,"ChatGPT"
334,0,0,1,0,0,0,"ChatGPT"
335,1,0,0,1,0,0,"ChatGPT"
336,1,0,0,0,0,0,"ChatGPT"
337,1,0,0,0,0,0,"ChatGPT"
338,1,0,0,1,0,0,"ChatGPT"
339,1,0,0,0,1,0,"ChatGPT"
340,1,0,0,0,1,0,"ChatGPT"
341,1,0,0,0,1,0,"ChatGPT"
342,1,0,0,1,1,0,"ChatGPT"
343,1,0,0,1,0,0,"ChatGPT"
344,1,0,0,1,0,0,"ChatGPT"
345,1,0,1,1,1,0,"ChatGPT"
346,1,0,0,1,1,0,"ChatGPT"
347,1,0,0,1,1,0,"ChatGPT"
348,1,0,0,1,1,0,"ChatGPT"
349,1,0,0,1,1,0,"ChatGPT"
350,1,0,0,0,1,0,"ChatGPT"
351,0,0,1,0,0,0,"ChatGPT"
352,1,0,0,1,1,0,"ChatGPT"
355,1,0,0,1,1,0,"ChatGPT"
356,1,0,0,0,0,0,"ChatGPT"
357,1,0,0,0,0,0,"ChatGPT"
358,1,0,0,0,1,0,"ChatGPT"
359,0,0,1,0,0,0,"ChatGPT"
360,1,0,0,1,1,0,"ChatGPT"
364,1,0,0,1,0,0,"ChatGPT"
365,1,0,0,0,1,0,"ChatGPT"
366,1,0,0,1,1,0,"ChatGPT"
371,0,0,1,0,0,0,"ChatGPT"
372,0,0,1,0,0,0,"ChatGPT"
373,1,0,0,1,0,0,"ChatGPT"
374,0,0,0,0,0,1,"ChatGPT"
375,1,0,0,0,1,0,"ChatGPT"
377,1,0,0,1,0,0,"ChatGPT"
379,0,0,1,0,1,0,"ChatGPT"
381,1,0,0,0,0,0,"ChatGPT"
382,1,0,0,0,0,0,"ChatGPT"
384,1,0,0,1,0,0,"ChatGPT"
385,0,0,0,1,0,0,"ChatGPT"
386,1,0,0,1,0,0,"ChatGPT"
387,1,0,0,0,0,0,"ChatGPT"
388,1,0,0,0,1,0,"ChatGPT"
390,1,0,0,1,0,0,"ChatGPT"
393,1,0,0,1,1,0,"ChatGPT"
398,0,0,1,0,0,0,"ChatGPT"
399,1,0,0,1,1,0,"ChatGPT"
401,0,0,0,0,1,0,"ChatGPT"
403,1,0,0,1,0,0,"ChatGPT"
404,1,0,0,1,1,0,"ChatGPT"
406,0,0,1,0,0,0,"ChatGPT"
407,1,0,0,0,0,0,"ChatGPT"
408,1,0,0,1,1,0,"ChatGPT"
409,1,0,0,1,1,0,"ChatGPT"
411,1,0,0,1,1,0,"ChatGPT"
412,1,0,0,0,1,0,"ChatGPT"
413,1,0,0,1,0,0,"ChatGPT"
414,1,1,0,1,1,0,"ChatGPT"
415,1,0,0,0,0,0,"ChatGPT"
417,1,0,0,1,0,0,"ChatGPT"
419,0,0,0,1,0,0,"ChatGPT"
420,1,0,0,0,0,0,"ChatGPT"
422,1,0,0,0,0,0,"ChatGPT"
423,1,0,0,0,0,0,"ChatGPT"
424,1,0,1,1,1,0,"ChatGPT"
425,1,0,0,0,0,0,"ChatGPT"
426,1,0,0,0,0,0,"ChatGPT"
427,1,0,0,1,0,0,"ChatGPT"
428,1,0,0,1,0,0,"ChatGPT"
429,1,0,0,1,1,0,"ChatGPT"
430,1,0,0,0,0,0,"ChatGPT"
431,1,0,1,0,0,0,"ChatGPT"
432,1,0,0,1,0,0,"ChatGPT"
433,1,0,0,1,0,0,"ChatGPT"
435,1,0,0,0,1,0,"ChatGPT"
436,1,0,0,1,0,0,"ChatGPT"
437,1,0,0,1,0,0,"ChatGPT"
438,1,0,0,1,0,0,"ChatGPT"
440,1,0,0,0,1,0,"ChatGPT"
441,1,1,1,1,1,0,"ChatGPT"
442,1,0,0,0,0,0,"ChatGPT"
443,1,0,0,0,1,0,"ChatGPT"
444,1,0,1,0,0,0,"ChatGPT"
445,1,0,0,0,0,0,"ChatGPT"
446,1,1,0,1,0,0,"ChatGPT"
447,1,0,0,1,0,0,"ChatGPT"
448,1,0,0,1,0,0,"ChatGPT"
449,1,1,0,0,0,0,"ChatGPT"
450,1,0,0,1,0,0,"ChatGPT"
451,1,0,1,0,0,0,"ChatGPT"
452,1,0,0,1,1,0,"ChatGPT"
454,0,0,0,0,1,0,"ChatGPT"
455,1,0,0,0,1,0,"ChatGPT"
456,1,0,0,1,0,0,"ChatGPT"
460,1,0,1,0,1,0,"ChatGPT"
465,0,0,1,0,0,0,"ChatGPT"
466,1,0,0,0,0,0,"ChatGPT"
467,1,1,0,0,0,0,"ChatGPT"
468,0,0,0,1,0,0,"ChatGPT"
469,1,0,0,0,0,0,"ChatGPT"
470,1,0,0,1,1,0,"ChatGPT"
471,1,0,1,0,1,0,"ChatGPT"
472,0,0,0,0,1,0,"ChatGPT"
473,0,0,1,0,1,0,"ChatGPT"
474,0,0,0,0,1,0,"ChatGPT"
477,1,1,0,1,1,0,"ChatGPT"
478,1,0,0,1,1,0,"ChatGPT"
479,0,0,0,1,0,0,"ChatGPT"
482,0,0,0,0,0,0,"ChatGPT"
483,0,0,1,0,1,0,"ChatGPT"
484,0,0,0,0,1,0,"ChatGPT"
485,1,0,0,1,0,0,"ChatGPT"
488,1,0,0,0,1,0,"ChatGPT"
490,1,0,0,0,1,0,"ChatGPT"
491,1,0,0,1,0,0,"ChatGPT"
492,1,0,0,0,0,0,"ChatGPT"
494,0,0,1,0,0,0,"ChatGPT"
495,0,0,1,0,0,0,"ChatGPT"
496,1,0,1,0,0,0,"ChatGPT"
497,1,0,1,1,1,0,"ChatGPT"
498,1,0,1,1,1,0,"ChatGPT"
499,1,0,0,1,1,0,"ChatGPT"
500,0,0,0,0,1,0,"ChatGPT"
501,1,1,0,0,0,0,"ChatGPT"
502,1,0,1,1,1,0,"ChatGPT"
504,1,0,1,0,0,0,"ChatGPT"
505,1,0,1,1,0,0,"ChatGPT"
506,1,0,0,0,0,0,"ChatGPT"
509,1,0,0,0,1,0,"ChatGPT"
510,1,0,0,1,1,0,"ChatGPT"
511,1,0,0,0,0,0,"ChatGPT"
512,1,0,0,1,0,0,"ChatGPT"
513,1,1,0,0,0,0,"ChatGPT"
514,1,1,0,0,0,0,"ChatGPT"
515,1,0,1,1,0,0,"ChatGPT"
516,1,0,0,0,1,0,"ChatGPT"
517,1,0,0,0,1,0,"ChatGPT"
518,1,0,0,0,0,0,"ChatGPT"
519,1,0,0,1,1,0,"ChatGPT"
520,1,0,0,1,0,0,"ChatGPT"
521,1,0,1,1,0,0,"ChatGPT"
523,0,0,0,0,1,0,"ChatGPT"
525,1,0,0,1,0,0,"ChatGPT"
527,1,0,1,0,0,0,"ChatGPT"
528,0,0,1,0,0,0,"ChatGPT"
530,0,0,0,1,0,0,"ChatGPT"
531,1,0,0,0,0,0,"ChatGPT"
532,1,0,0,1,1,0,"ChatGPT"
534,1,0,0,1,1,0,"ChatGPT"
535,1,0,0,0,0,0,"ChatGPT"
536,0,0,0,1,0,0,"ChatGPT"
537,1,1,0,1,1,0,"ChatGPT"
538,1,1,1,0,0,0,"ChatGPT"
539,0,0,1,0,0,0,"ChatGPT"
540,1,0,0,1,0,0,"ChatGPT"
544,1,0,1,0,1,0,"ChatGPT"
545,0,0,0,0,1,0,"ChatGPT"
546,1,0,1,0,0,0,"ChatGPT"
547,1,0,1,0,1,0,"ChatGPT"
548,1,1,0,0,0,0,"ChatGPT"
549,1,0,0,0,0,0,"ChatGPT"
550,0,0,0,0,0,0,"ChatGPT"
551,1,0,1,0,1,0,"ChatGPT"
552,1,0,0,1,0,0,"ChatGPT"
553,1,0,1,0,1,0,"ChatGPT"
554,1,0,0,0,1,0,"ChatGPT"
555,0,0,0,1,0,0,"ChatGPT"
556,1,0,0,1,1,0,"ChatGPT"
558,1,0,1,0,1,0,"ChatGPT"
559,0,0,1,0,0,0,"ChatGPT"
561,1,0,0,0,0,0,"ChatGPT"
563,0,0,1,0,0,0,"ChatGPT"
564,1,0,0,0,0,0,"ChatGPT"
566,1,0,0,0,0,0,"ChatGPT"
567,1,0,0,0,0,0,"ChatGPT"
570,0,0,0,0,0,0,"ChatGPT"
571,1,0,0,1,0,0,"ChatGPT"
572,0,0,0,0,1,0,"ChatGPT"
573,1,0,0,0,1,0,"ChatGPT"
575,1,0,0,0,0,0,"ChatGPT"
576,1,0,1,1,1,0,"ChatGPT"
582,1,0,0,0,1,0,"ChatGPT"
590,1,0,0,0,0,0,"ChatGPT"
591,0,0,1,0,0,0,"ChatGPT"
592,1,0,0,0,1,0,"ChatGPT"
594,1,0,0,0,1,0,"ChatGPT"
595,1,0,0,1,0,0,"ChatGPT"
596,1,0,0,1,0,0,"ChatGPT"
597,0,0,0,1,0,0,"ChatGPT"
598,1,0,0,0,0,0,"ChatGPT"
599,1,0,0,0,0,0,"ChatGPT"
600,1,0,0,0,1,0,"ChatGPT"
602,0,0,1,0,0,0,"ChatGPT"
603,1,0,0,1,1,0,"ChatGPT"
604,1,0,0,0,0,0,"ChatGPT"
605,1,0,0,0,0,0,"ChatGPT"
607,0,0,0,1,0,0,"ChatGPT"
608,0,0,0,0,1,0,"ChatGPT"
609,0,0,0,0,1,0,"ChatGPT"
610,0,0,1,0,0,0,"ChatGPT"
611,1,0,0,1,0,0,"ChatGPT"
612,1,0,0,0,1,0,"ChatGPT"
613,0,0,0,1,0,0,"ChatGPT"
615,1,0,0,0,0,0,"ChatGPT"
616,0,0,0,1,0,0,"ChatGPT"
617,1,0,0,0,1,0,"ChatGPT"
618,1,0,1,0,1,0,"ChatGPT"
619,0,0,0,0,1,0,"ChatGPT"
620,0,0,0,0,1,0,"ChatGPT"
621,1,0,1,1,0,0,"ChatGPT"
622,0,0,0,1,1,0,"ChatGPT"
623,1,0,0,0,0,0,"ChatGPT"
624,1,1,0,0,0,0,"ChatGPT"
628,1,0,0,0,0,0,"ChatGPT"
629,1,0,0,0,0,0,"ChatGPT"
632,1,0,0,1,0,0,"ChatGPT"
634,1,0,0,1,0,0,"ChatGPT"
635,0,0,1,0,0,0,"ChatGPT"
636,1,0,0,1,1,0,"ChatGPT"
637,0,0,0,1,0,0,"ChatGPT"
638,1,0,0,0,0,0,"ChatGPT"
640,1,0,0,1,0,0,"ChatGPT"
641,1,0,0,1,0,0,"ChatGPT"
642,0,0,0,0,1,0,"ChatGPT"
646,1,0,0,0,1,0,"ChatGPT"
648,1,0,0,1,0,0,"ChatGPT"
650,1,0,0,1,1,0,"ChatGPT"
651,1,0,0,0,0,0,"ChatGPT"
654,1,0,0,1,0,0,"ChatGPT"
655,1,0,0,0,1,0,"ChatGPT"
656,1,0,0,0,0,0,"ChatGPT"
657,1,0,0,0,1,0,"ChatGPT"
658,1,0,0,0,0,0,"ChatGPT"
659,1,0,0,1,0,0,"ChatGPT"
661,1,0,0,0,0,0,"ChatGPT"
662,1,0,0,0,0,0,"ChatGPT"
663,1,0,0,0,1,0,"ChatGPT"
664,1,0,0,0,1,0,"ChatGPT"
667,0,0,0,1,0,0,"ChatGPT"
669,1,0,0,1,1,0,"ChatGPT"
671,1,0,0,0,0,0,"ChatGPT"
672,0,0,0,0,1,0,"ChatGPT"
673,0,0,1,0,0,0,"ChatGPT"
674,0,0,1,0,0,0,"ChatGPT"
675,1,0,0,1,1,0,"ChatGPT"
677,1,0,0,1,1,0,"ChatGPT"
680,1,0,0,0,0,0,"ChatGPT"
683,1,0,0,0,1,0,"ChatGPT"
684,1,0,0,0,1,0,"ChatGPT"
685,1,0,0,0,0,0,"ChatGPT"
686,0,0,1,0,0,0,"ChatGPT"
687,1,0,0,1,0,0,"ChatGPT"
689,0,0,1,0,0,0,"ChatGPT"
690,0,0,1,0,0,0,"ChatGPT"
691,0,0,1,0,0,0,"ChatGPT"
692,0,0,1,0,0,0,"ChatGPT"
693,1,0,1,0,1,0,"ChatGPT"
694,0,0,1,0,0,0,"ChatGPT"
695,0,0,1,0,0,0,"ChatGPT"
696,0,0,1,0,0,0,"ChatGPT"
697,0,0,1,0,0,0,"ChatGPT"
699,0,0,1,0,0,0,"ChatGPT"
700,0,0,1,0,0,0,"ChatGPT"
701,1,0,0,0,0,0,"ChatGPT"
702,1,0,1,0,0,0,"ChatGPT"
703,0,0,0,0,1,0,"ChatGPT"
704,1,0,0,1,0,0,"ChatGPT"
705,0,0,0,0,1,0,"ChatGPT"
