"X","DOI","Title","Authors","Year","Source.Title","Volume","Issue","Abstract","Author.Keywords","Scopus.Keywords","WOS.Keywords","Source","parsedInput","response","countriesGPT","country"
219,"10.1111/ina.12149","Effects of ventilation rate per person and per floor area on perceived air quality, sick building syndrome symptoms, and decision-making","Maddalena, R; Mendell, MJ; Eliseeva, K; Chan, WR; Sullivan, DP; Russell, M; Satish, U; Fisk, WJ",2015,"INDOOR AIR","25","4","Ventilation rates (VRs) in buildings must adequately control indoor levels of pollutants; however, VRs are constrained by the energy costs. Experiments in a simulated office assessed the effects of VR per occupant on perceived air quality (PAQ), Sick Building Syndrome (SBS) symptoms, and decision-making performance. A parallel set of experiments assessed the effects of VR per unit floor area on the same outcomes. Sixteen blinded healthy young adult subjects participated in each study. Each exposure lasted four hours and each subject experienced two conditions in a within-subject study design. The order of presentation of test conditions, day of testing, and gender were balanced. Temperature, relative humidity, VRs, and concentrations of pollutants were monitored. Online surveys assessed PAQ and SBS symptoms and a validated computer-based tool measured decision-making performance. Neither changing the VR per person nor changing the VR per floor area, had consistent statistically significant effects on PAQ or SBS symptoms. However, reductions in either occupant-based VR or floor-area-based VR had a significant and independent negative impact on most decision-making measures. These results indicate that the changes in VR employed in the study influence performance of healthy young adults even when PAQ and SBS symptoms are unaffected.","Cognitive performance; Health symptoms; Perceived air quality; Ventilation","Adult; Air Pollution, Indoor; Decision Making; Female; Humans; Male; Sick Building Syndrome; Surveys and Questionnaires; Ventilation; Young Adult; Air quality; Floors; Indoor air pollution; Intelligent buildings; Ventilation; Cognitive performance; Decisions makings; Floor areas; Health symptom; In-buildings; Perceived air quality; Performance; Sick building syndrome symptoms; Ventilation rate; Young adults; adult; air conditioning; decision making; female; human; indoor air pollution; male; questionnaire; sick building syndrome; standards; statistics and numerical data; young adult; Decision making","PERFORMANCE; SIMULATION; HEALTH; OFFICE","WOS","Effects of ventilation rate per person and per floor area on perceived air quality, sick building syndrome symptoms, and decision-making Ventilation rates (VRs) in buildings must adequately control indoor levels of pollutants; however, VRs are constrained by the energy costs. Experiments in a simulated office assessed the effects of VR per occupant on perceived air quality (PAQ), Sick Building Syndrome (SBS) symptoms, and decision-making performance. A parallel set of experiments assessed the effects of VR per unit floor area on the same outcomes. Sixteen blinded healthy young adult subjects participated in each study. Each exposure lasted four hours and each subject experienced two conditions in a within-subject study design. The order of presentation of test conditions, day of testing, and gender were balanced. Temperature, relative humidity, VRs, and concentrations of pollutants were monitored. Online surveys assessed PAQ and SBS symptoms and a validated computer-based tool measured decision-making performance. Neither changing the VR per person nor changing the VR per floor area, had consistent statistically significant effects on PAQ or SBS symptoms. However, reductions in either occupant-based VR or floor-area-based VR had a significant and independent negative impact on most decision-making measures. These results indicate that the changes in VR employed in the study influence performance of healthy young adults even when PAQ and SBS symptoms are unaffected. Cognitive performance; Health symptoms; Perceived air quality; Ventilation Adult; Air Pollution, Indoor; Decision Making; Female; Humans; Male; Sick Building Syndrome; Surveys and Questionnaires; Ventilation; Young Adult; Air quality; Floors; Indoor air pollution; Intelligent buildings; Ventilation; Cognitive performance; Decisions makings; Floor areas; Health symptom; In-buildings; Perceived air quality; Performance; Sick building syndrome symptoms; Ventilation rate; Young adults; adult; air conditioning; decision making; female; human; indoor air pollution; male; questionnaire; sick building syndrome; standards; statistics and numerical data; young adult; Decision making PERFORMANCE; SIMULATION; HEALTH; OFFICE","```json
{
    ""countries"": []
}
```","[]","Unknown"
227,"","Environmental conflicts in the South Durban Basin: Integrating residents' perceptions and concerns resulting from air pollution","Jaggernath, J",2010,"AFRICAN JOURNAL ON CONFLICT RESOLUTION","10","2","With a complex mix of large scale industries and major transport networks, the South Durban Basin (SDB) residential area has been subjected to a considerable amount of environmental impacts and conflicts. A major concern in the area is the effects of air pollution on human health and ecology that are caused by the emissions of unacceptable levels of toxins, chemical waste and a large content of sulphur dioxide, which are characteristic of industrial processes and activities. Perceptions regarding environmental conflicts in the area were recorded by eliciting residents' concerns. Fieldwork in the form of questionnaires was undertaken. These were administered to 200 households in Merebank and Wentworth in the SDB to determine residents' knowledge, perceptions and concerns about industrial activities and potential impacts. This paper therefore explores residents' perceptions of environmental impacts and highlights the key issues which contribute to community conflicts - including those conflicts related to government, employment, race and community health.","","","","WOS","Environmental conflicts in the South Durban Basin: Integrating residents' perceptions and concerns resulting from air pollution With a complex mix of large scale industries and major transport networks, the South Durban Basin (SDB) residential area has been subjected to a considerable amount of environmental impacts and conflicts. A major concern in the area is the effects of air pollution on human health and ecology that are caused by the emissions of unacceptable levels of toxins, chemical waste and a large content of sulphur dioxide, which are characteristic of industrial processes and activities. Perceptions regarding environmental conflicts in the area were recorded by eliciting residents' concerns. Fieldwork in the form of questionnaires was undertaken. These were administered to 200 households in Merebank and Wentworth in the SDB to determine residents' knowledge, perceptions and concerns about industrial activities and potential impacts. This paper therefore explores residents' perceptions of environmental impacts and highlights the key issues which contribute to community conflicts - including those conflicts related to government, employment, race and community health.","```json
{
    ""countries"": []
}
```","[]","Unknown"
233,"","Evaluation of BTEX concentration and indoor air quality perceptions in platforms and train","Ya'acob S.H.; Saidin N.S.; Sukri N.S.; Sahani M.",2015,"","10.0","20","Benzene, toluene, ethylbenzene and xylene (BTEX) are compounds that are harmful to health and it exists in the public transportation environment including the railway transportation. This study was conducted to determine the concentration of BTEX in the train and the platform of a railway service provider. Air sampling was conducted to compare the concentrations of BTEX in the train and platform by using activated charcoal sorbent tubes for one hour at Sentul- Klang route during peak hours. Analysis of air samples was done by using Gas Chromatography-Flame Ionization Detector (GC-FID). In addition, questionnaires were distributed to 254 respondents by cluster sampling on weekdays to examine passengers' perception on the indoor air quality (IAQ) of trains and platforms. The results indicated that 70.5% of passengers are aged 21-30 years, 11.8% aged 31-40 years, 10.6% aged 51 years and over, 5.5% aged 41-50 years and 1.6% aged 20 years and less. Majority of the passengers perceived the density of passengers on trains as dense (63.0%) and platform as less dense (49.2%). Passengers mostly feel that ventilation (57.9%), wind quality (66.9%) and IAQ (57.9%) are acceptable in the train. In the platform, passengers mostly choose an acceptable answer to the perception of ventilation (64.6%), air quality (63.0%) and IAQ (70.5%). There were no significant differences in comparison of IAQ in the train and platform by passengers' age range (p>0.05). There is a significant correlation between IAQ and passenger density, ventilation, odor and air quality in the train (p<0.01). However, a significant correlation was only found between IAQ and ventilation and air quality in the platform (p<0.01) and no significant correlation was found between IAQ and the passenger density on the platform (p>0.01). Although the overall passengers' perception of IAQ in the train and platform are acceptable, improvement is required especially regarding to indoor air quality services so that a better indoor environment can be achieved. © 2006-2015 Asian Research Publishing Network (ARPN).","IAQ; train and platform","","","Scopus","Evaluation of BTEX concentration and indoor air quality perceptions in platforms and train Benzene, toluene, ethylbenzene and xylene (BTEX) are compounds that are harmful to health and it exists in the public transportation environment including the railway transportation. This study was conducted to determine the concentration of BTEX in the train and the platform of a railway service provider. Air sampling was conducted to compare the concentrations of BTEX in the train and platform by using activated charcoal sorbent tubes for one hour at Sentul- Klang route during peak hours. Analysis of air samples was done by using Gas Chromatography-Flame Ionization Detector (GC-FID). In addition, questionnaires were distributed to 254 respondents by cluster sampling on weekdays to examine passengers' perception on the indoor air quality (IAQ) of trains and platforms. The results indicated that 70.5% of passengers are aged 21-30 years, 11.8% aged 31-40 years, 10.6% aged 51 years and over, 5.5% aged 41-50 years and 1.6% aged 20 years and less. Majority of the passengers perceived the density of passengers on trains as dense (63.0%) and platform as less dense (49.2%). Passengers mostly feel that ventilation (57.9%), wind quality (66.9%) and IAQ (57.9%) are acceptable in the train. In the platform, passengers mostly choose an acceptable answer to the perception of ventilation (64.6%), air quality (63.0%) and IAQ (70.5%). There were no significant differences in comparison of IAQ in the train and platform by passengers' age range (p>0.05). There is a significant correlation between IAQ and passenger density, ventilation, odor and air quality in the train (p<0.01). However, a significant correlation was only found between IAQ and ventilation and air quality in the platform (p<0.01) and no significant correlation was found between IAQ and the passenger density on the platform (p>0.01). Although the overall passengers' perception of IAQ in the train and platform are acceptable, improvement is required especially regarding to indoor air quality services so that a better indoor environment can be achieved. © 2006-2015 Asian Research Publishing Network (ARPN). IAQ; train and platform","```json
{
    ""countries"": []
}
```","[]","Unknown"
253,"10.1016/j.jtrangeo.2021.103085","Extending the dimensions of personal exposure assessment: A methodological discussion on perceived and measured noise and air pollution in traffic","Marquart, H; Ueberham, M; Schlink, U",2021,"JOURNAL OF TRANSPORT GEOGRAPHY","93","","Background: The exposure to air pollution and noise is severely impacting people's health and is especially high alongside urban road- and rail-traffic. In traditional exposure research, air pollution and noise are monitored with stationary measurement devices or based on models. During the last years, mobile measurement techniques with GPS-tracking have increased. Moreover, studies have investigated another dimension of personal exposure: the perceived exposure. Aim: Most of these studies make use of quantitative methods such as surveys, complemented by stationary or wearable sensors. Little research exist that applies qualitative methods to examine how people experience and perceive exposure on-the-move, contrasting it to actual measurements. The aim of this paper is to discuss the potential of a novel method, which extends the dimensions of personal exposure by including the situational context of exposure perception. Methods/case study: Firstly, different methods for exposure research are presented. Secondly, we introduce a novel mixed-method approach, exploring cyclists and pedestrians perceived and measured exposure on-the-move by combining mobile interviews (Go-/Ride-Alongs) and wearable sensors. We will present the methodological findings using a case study and have a quantitative method (smartphone questionnaire, wearable sensors) as a reference. Results and discussion: The differences of perceived and measured exposure, proven through the reference method, are a result of different situational contexts as shown by the mobile interviews (knowledge, embodied experience, life situation, activities). The methodological findings show, that mobile methods complemented by wearables introduce new dimensions of personal exposure: they shed light on the situational contexts that affect exposure perception during commute. Conclusion: We argue that both, perceived and measured exposure to air pollution and noise, need to be considered simultaneously. Complementing mobile interviews or surveys with wearable sensor data improves the understanding of urban dwellers requirements for healthier mobility. Potentials of these methods should be investigated further, both in research and for supporting urban transport planning decisions adapted to people's needs.","Mobile interview; Wearable sensors; Mixed-methods; Air pollution; Noise; Perception","atmospheric pollution; GPS; noise pollution; perception; pollution exposure; sensor; traffic emission; urban transport","PARTICULATE MATTER; WEARABLE SENSORS; HEALTH; PERCEPTION; EXPERIENCE; WALKING; CITY; NEIGHBORHOOD; INFORMATION; ANNOYANCE","WOS","Extending the dimensions of personal exposure assessment: A methodological discussion on perceived and measured noise and air pollution in traffic Background: The exposure to air pollution and noise is severely impacting people's health and is especially high alongside urban road- and rail-traffic. In traditional exposure research, air pollution and noise are monitored with stationary measurement devices or based on models. During the last years, mobile measurement techniques with GPS-tracking have increased. Moreover, studies have investigated another dimension of personal exposure: the perceived exposure. Aim: Most of these studies make use of quantitative methods such as surveys, complemented by stationary or wearable sensors. Little research exist that applies qualitative methods to examine how people experience and perceive exposure on-the-move, contrasting it to actual measurements. The aim of this paper is to discuss the potential of a novel method, which extends the dimensions of personal exposure by including the situational context of exposure perception. Methods/case study: Firstly, different methods for exposure research are presented. Secondly, we introduce a novel mixed-method approach, exploring cyclists and pedestrians perceived and measured exposure on-the-move by combining mobile interviews (Go-/Ride-Alongs) and wearable sensors. We will present the methodological findings using a case study and have a quantitative method (smartphone questionnaire, wearable sensors) as a reference. Results and discussion: The differences of perceived and measured exposure, proven through the reference method, are a result of different situational contexts as shown by the mobile interviews (knowledge, embodied experience, life situation, activities). The methodological findings show, that mobile methods complemented by wearables introduce new dimensions of personal exposure: they shed light on the situational contexts that affect exposure perception during commute. Conclusion: We argue that both, perceived and measured exposure to air pollution and noise, need to be considered simultaneously. Complementing mobile interviews or surveys with wearable sensor data improves the understanding of urban dwellers requirements for healthier mobility. Potentials of these methods should be investigated further, both in research and for supporting urban transport planning decisions adapted to people's needs. Mobile interview; Wearable sensors; Mixed-methods; Air pollution; Noise; Perception atmospheric pollution; GPS; noise pollution; perception; pollution exposure; sensor; traffic emission; urban transport PARTICULATE MATTER; WEARABLE SENSORS; HEALTH; PERCEPTION; EXPERIENCE; WALKING; CITY; NEIGHBORHOOD; INFORMATION; ANNOYANCE","```json
{
    ""countries"": []
}
```","[]","Unknown"
262,"10.1177/10717641241292612","From Interior Aesthetics to Perceived Indoor Air Quality: A Home Halo Effect","Durand, F; Besson, T; Bonnefoy, B; Meyer, T",2024,"JOURNAL OF INTERIOR DESIGN","","","Many odorless and invisible pollutants contribute to poor indoor air quality at home. Previous research has shown that subjective ratings of indoor air quality are biased by a home halo effect. This effect is characterized by the tendency to subjectively assess air quality based on pleasant aspects that are unrelated to its objective quality. We hypothesize that the pleasing aesthetics of a living room image will increase the perceived indoor air quality in the room and influence the intention to improve air quality. In three studies, participants (n = 1,016) were exposed to an image of a low- or high-aesthetic living room. Perceived self-reported knowledge (SRK) of indoor air quality was surveyed. Results showed that indoor air quality was rated as better in a highly aesthetic living room. Participants with low perceived SRK were less likely to ventilate the low aesthetic living room. Practical implications for communications on indoor air risk and interior design are discussed, especially the integration of knowledge surrounding the aesthetic halo effect into the education and design processes of interior designers to heighten awareness among occupants and prioritize materials minimizing indoor air pollution. For occupants, a necessity for enhanced comprehension of indoor air quality and the adoption of proactive measures is examined through public health policies that address broader concerns surrounding indoor air quality and endorse initiatives for disseminating information related to indoor concerns.","halo effect; aesthetics; indoor air; living room design; home; indoor pollutants","","PERCEPTION; BEAUTIFUL; POLLUTION; ASTHMA","WOS","From Interior Aesthetics to Perceived Indoor Air Quality: A Home Halo Effect Many odorless and invisible pollutants contribute to poor indoor air quality at home. Previous research has shown that subjective ratings of indoor air quality are biased by a home halo effect. This effect is characterized by the tendency to subjectively assess air quality based on pleasant aspects that are unrelated to its objective quality. We hypothesize that the pleasing aesthetics of a living room image will increase the perceived indoor air quality in the room and influence the intention to improve air quality. In three studies, participants (n = 1,016) were exposed to an image of a low- or high-aesthetic living room. Perceived self-reported knowledge (SRK) of indoor air quality was surveyed. Results showed that indoor air quality was rated as better in a highly aesthetic living room. Participants with low perceived SRK were less likely to ventilate the low aesthetic living room. Practical implications for communications on indoor air risk and interior design are discussed, especially the integration of knowledge surrounding the aesthetic halo effect into the education and design processes of interior designers to heighten awareness among occupants and prioritize materials minimizing indoor air pollution. For occupants, a necessity for enhanced comprehension of indoor air quality and the adoption of proactive measures is examined through public health policies that address broader concerns surrounding indoor air quality and endorse initiatives for disseminating information related to indoor concerns. halo effect; aesthetics; indoor air; living room design; home; indoor pollutants PERCEPTION; BEAUTIFUL; POLLUTION; ASTHMA","```json
{
    ""countries"": []
}
```","[]","Unknown"
292,"","INDOOR AIR QUALITY AT HIGHER INSTITUTION'S LABORATORY: A STUDY ON PRE-SYMPTOMS, AWARENESS AND UNDERSTANDING AMONG OCCUPANTS","Osman, MR; Azid, A; Juahir, H; Yunus, K; Amran, MA; Mustafa, AD; Azaman, F; Zainuddin, SFM",2015,"JURNAL TEKNOLOGI","77","1","This study intends to show the effectiveness of indoor air quality (IAQ) at the higher institution laboratory. The objective is to determine the impact of current IAQ, to study the occupants' knowledge in the indoor air pollutants and to identify the significance of occupants' personality regarding the IAQ awareness. 100 respondents had responded to answer the questionnaires given. The questionnaires were analysed using XLSTAT2014 software for descriptive statistic and discriminant analysis in order to fulfil the outlined objectives. The finding shows that 56% of the respondents know about IAQ, while 40% and 4% did not know and not sure about the IAQ, respectively. By gender, there were 20 of male respondents having the IAQ knowledge and 21 of male respondents did not know about the IAQ. Meanwhile, 36 of female respondents have IAQ knowledge, 19 of female respondents did not know the IAQ knowledge and 4 of female respondents were not sure regarding the IAQ knowledge. Furthermore, the IAQ in the laboratory at the higher institution is considered as unhealthy based on the respondents' complaints of their health problem symptoms. Meanwhile, the results of personality tests show that women have more IAQ awareness compared to men. It indicated that the personalities of the occupants have significance to influence and able to determine their awareness on the IAQ. Hence, it described that IAQ is a significant factor to determine and influence the health of laboratory occupants.","Indoor air quality; discriminant analysis; five factor model; Department Occupational Safety and Health","","","WOS","INDOOR AIR QUALITY AT HIGHER INSTITUTION'S LABORATORY: A STUDY ON PRE-SYMPTOMS, AWARENESS AND UNDERSTANDING AMONG OCCUPANTS This study intends to show the effectiveness of indoor air quality (IAQ) at the higher institution laboratory. The objective is to determine the impact of current IAQ, to study the occupants' knowledge in the indoor air pollutants and to identify the significance of occupants' personality regarding the IAQ awareness. 100 respondents had responded to answer the questionnaires given. The questionnaires were analysed using XLSTAT2014 software for descriptive statistic and discriminant analysis in order to fulfil the outlined objectives. The finding shows that 56% of the respondents know about IAQ, while 40% and 4% did not know and not sure about the IAQ, respectively. By gender, there were 20 of male respondents having the IAQ knowledge and 21 of male respondents did not know about the IAQ. Meanwhile, 36 of female respondents have IAQ knowledge, 19 of female respondents did not know the IAQ knowledge and 4 of female respondents were not sure regarding the IAQ knowledge. Furthermore, the IAQ in the laboratory at the higher institution is considered as unhealthy based on the respondents' complaints of their health problem symptoms. Meanwhile, the results of personality tests show that women have more IAQ awareness compared to men. It indicated that the personalities of the occupants have significance to influence and able to determine their awareness on the IAQ. Hence, it described that IAQ is a significant factor to determine and influence the health of laboratory occupants. Indoor air quality; discriminant analysis; five factor model; Department Occupational Safety and Health","```json
{
    ""countries"": []
}
```","[]","Unknown"
306,"10.3368/le.100.3.022822-0018R2","Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute","He J.; He Y.; Zhang B.",2024,"","100.0","3","We use a nested constant elasticity of substitution utility function to introduce a private environmental substitute in a theoretical model. We find that a buyer’s income elasticity of willingness to pay (WTP) increases with the price of the substitute and decreases with income. A higher price and a lower income also discourage purchase of the substitute, reducing the proportion of buyers in population. We must therefore consider both dimensions when discussing societal mean WTP. An empirical check based on a contingent valuation survey confirms our theoretical findings. Projected income-WTP curves reveal inequality further reduces the mean WTP in the presence of private environmental substitutes. © 2024 by the Board of Regents of the University of Wisconsin System","Q51; Q53","air quality; contingent valuation; demand elasticity; environmental economics; income; price dynamics; substitution; willingness to pay","","Scopus","Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute We use a nested constant elasticity of substitution utility function to introduce a private environmental substitute in a theoretical model. We find that a buyer’s income elasticity of willingness to pay (WTP) increases with the price of the substitute and decreases with income. A higher price and a lower income also discourage purchase of the substitute, reducing the proportion of buyers in population. We must therefore consider both dimensions when discussing societal mean WTP. An empirical check based on a contingent valuation survey confirms our theoretical findings. Projected income-WTP curves reveal inequality further reduces the mean WTP in the presence of private environmental substitutes. © 2024 by the Board of Regents of the University of Wisconsin System Q51; Q53 air quality; contingent valuation; demand elasticity; environmental economics; income; price dynamics; substitution; willingness to pay","```json
{
    ""countries"": []
}
```","[]","Unknown"
314,"10.11113/jt.v77.4272","Indoor air quality at higher institution’s laboratory: A study on pre-symptoms, awareness and understanding among occupants","Osman M.R.; Azid A.; Juahir H.; Yunus K.; Amran M.A.; Mustafa A.D.; Azaman F.; Zainuddin S.F.M.",2015,"","77.0","1","This study intends to show the effectiveness of indoor air quality (IAQ) at the higher institution laboratory. The objective is to determine the impact of current IAQ, to study the occupants’ knowledge in the indoor air pollutants and to identify the significance of occupants’ personality regarding the IAQ awareness. 100 respondents had responded to answer the questionnaires given. The questionnaires were analysed using XLSTAT2014 software for descriptive statistic and discriminant analysis in order to fulfil the outlined objectives. The finding shows that 56% of the respondents know about IAQ, while 40% and 4% did not know and not sure about the IAQ, respectively. By gender, there were 20 of male respondents having the IAQ knowledge and 21 of male respondents did not know about the IAQ. Meanwhile, 36 of female respondents have IAQ knowledge, 19 of female respondents did not know the IAQ knowledge and 4 of female respondents were not sure regarding the IAQ knowledge. Furthermore, the IAQ in the laboratory at the higher institution is considered as unhealthy based on the respondents’ complaints of their health problem symptoms. Meanwhile, the results of personality tests show that women have more IAQ awareness compared to men. It indicated that the personalities of the occupants have significance to influence and able to determine their awareness on the IAQ. Hence, it described that IAQ is a significant factor to determine and influence the health of laboratory occupants. © 2015 Penerbit UTM Press. All rights reserved.","Department occupational safety and health; Discriminant analysis; Five factor model; Indoor air quality","","","Scopus","Indoor air quality at higher institution’s laboratory: A study on pre-symptoms, awareness and understanding among occupants This study intends to show the effectiveness of indoor air quality (IAQ) at the higher institution laboratory. The objective is to determine the impact of current IAQ, to study the occupants’ knowledge in the indoor air pollutants and to identify the significance of occupants’ personality regarding the IAQ awareness. 100 respondents had responded to answer the questionnaires given. The questionnaires were analysed using XLSTAT2014 software for descriptive statistic and discriminant analysis in order to fulfil the outlined objectives. The finding shows that 56% of the respondents know about IAQ, while 40% and 4% did not know and not sure about the IAQ, respectively. By gender, there were 20 of male respondents having the IAQ knowledge and 21 of male respondents did not know about the IAQ. Meanwhile, 36 of female respondents have IAQ knowledge, 19 of female respondents did not know the IAQ knowledge and 4 of female respondents were not sure regarding the IAQ knowledge. Furthermore, the IAQ in the laboratory at the higher institution is considered as unhealthy based on the respondents’ complaints of their health problem symptoms. Meanwhile, the results of personality tests show that women have more IAQ awareness compared to men. It indicated that the personalities of the occupants have significance to influence and able to determine their awareness on the IAQ. Hence, it described that IAQ is a significant factor to determine and influence the health of laboratory occupants. © 2015 Penerbit UTM Press. All rights reserved. Department occupational safety and health; Discriminant analysis; Five factor model; Indoor air quality","```json
{
    ""countries"": []
}
```","[]","Unknown"
318,"10.5846/STXB202104060883","Influence of haze in urban greenspace on behavioral decision-making and physical and mental health of the elderly; [城市绿地雾霾对老年人行为决策与身心健康的影响]","Yang B.; Chen Y.",2022,"","42.0","9","As important green infrastructure, greenspaces in high-density central urban districts serve as an important outdoor space for the surrounding residents, especially the elderly. Meanwhile, the ambient air pollution via particulate matter in such areas is closely related to the physical and mental health of the elderly visitors who suffer long-term exposure. This study is initiated to build a technological path between haze exposure and the elderly based on the positive and negative relationship between greenspace exposure and haze exposure under the background of the national strategy of healthy aging. In addition, the structured questionnaire interviews and the measured evidence-based experiments were conducted to collect data including physical environment data, crowd activity data, haze cognition data and basic population information. Combined with various statistical analyses including correlation analysis and mediating factor analysis, the impacts of haze in urban greenspaces on the decisions of the elderly to go out to visit such spaces as well as their physical and mental health were explored. A total of 138 crowd activity data and climate data were recorded, and 200 valid questionnaires were obtained. The results showed that the physical exercise and the social contact were two main reasons for the elderly to the greenspaces, and the typical activities of the elderly varied with the difference of physical environment using correlation and mediating effect analysis. Moreover, the air quality of six research sites reached or even be above moderate pollution (PM2.5 ≥115μg/ m3) during more than 70% of the survey period, suggesting that the air quality was worrying and exposed elderly visitors to serious health risks. According to questionnaire, the cognitive limitations on the potential hazards of haze were commonly existed in the elderly due to insufficient understanding of haze, vague perception and psychological neglect. In addition, the multiple and complex internal driving forces led to the decision-making of the elderly people to go to the greenspaces more perceptual than rational. Overall, there is no prominent correlation between PM2.5 concentration and crowd activities, showing that haze has little impact on the travel decision of the elderly since their insensitivity to haze pollution. There exists a gap between the cognitive decision of the elderly and the actual potential health hazards of haze. The results highlight the urgency of measures to promote healthy aging, and the importance of actively promoting the optimization of elderly-oriented landscape, which has certain reference value for the current human settlement environment construction. © 2022 Science Press. All rights reserved.","greenspace; haze; health; mediating effect; PM<sub>2.5</sub>; the elderly","air quality; atmospheric pollution; concentration (composition); decision making; elderly population; greenspace; haze; health impact; health risk; particulate matter; perception; pollution exposure; questionnaire survey; urban area","","Scopus","Influence of haze in urban greenspace on behavioral decision-making and physical and mental health of the elderly; [城市绿地雾霾对老年人行为决策与身心健康的影响] As important green infrastructure, greenspaces in high-density central urban districts serve as an important outdoor space for the surrounding residents, especially the elderly. Meanwhile, the ambient air pollution via particulate matter in such areas is closely related to the physical and mental health of the elderly visitors who suffer long-term exposure. This study is initiated to build a technological path between haze exposure and the elderly based on the positive and negative relationship between greenspace exposure and haze exposure under the background of the national strategy of healthy aging. In addition, the structured questionnaire interviews and the measured evidence-based experiments were conducted to collect data including physical environment data, crowd activity data, haze cognition data and basic population information. Combined with various statistical analyses including correlation analysis and mediating factor analysis, the impacts of haze in urban greenspaces on the decisions of the elderly to go out to visit such spaces as well as their physical and mental health were explored. A total of 138 crowd activity data and climate data were recorded, and 200 valid questionnaires were obtained. The results showed that the physical exercise and the social contact were two main reasons for the elderly to the greenspaces, and the typical activities of the elderly varied with the difference of physical environment using correlation and mediating effect analysis. Moreover, the air quality of six research sites reached or even be above moderate pollution (PM2.5 ≥115μg/ m3) during more than 70% of the survey period, suggesting that the air quality was worrying and exposed elderly visitors to serious health risks. According to questionnaire, the cognitive limitations on the potential hazards of haze were commonly existed in the elderly due to insufficient understanding of haze, vague perception and psychological neglect. In addition, the multiple and complex internal driving forces led to the decision-making of the elderly people to go to the greenspaces more perceptual than rational. Overall, there is no prominent correlation between PM2.5 concentration and crowd activities, showing that haze has little impact on the travel decision of the elderly since their insensitivity to haze pollution. There exists a gap between the cognitive decision of the elderly and the actual potential health hazards of haze. The results highlight the urgency of measures to promote healthy aging, and the importance of actively promoting the optimization of elderly-oriented landscape, which has certain reference value for the current human settlement environment construction. © 2022 Science Press. All rights reserved. greenspace; haze; health; mediating effect; PM<sub>2.5</sub>; the elderly air quality; atmospheric pollution; concentration (composition); decision making; elderly population; greenspace; haze; health impact; health risk; particulate matter; perception; pollution exposure; questionnaire survey; urban area","```json
{
    ""countries"": []
}
```","[]","Unknown"
336,"10.47750/pnr.2022.13.S03.166","Knowledge Regarding Household Air Pollution","Suresh, R; Gaikwad, P; Kadam, S; Dere, A; Dalvi, N",2022,"JOURNAL OF PHARMACEUTICAL NEGATIVE RESULTS","13","","Around 2.6 billion people cook using polluting open fires or simple stoves fuelled by kerosene, biomass (wood, animal dung and crop waste) and coal. Each year, close to 4 million people die prematurely from illness attributable to household air pollution from inefficient cooking practices using polluting stoves paired with solid fuels and kerosene. Household air pollution causes non communicable diseases including stroke, ischemic heart disease, chronic obstructive pulmonary disease (COPD) and lung cancer. Close to half of deaths due to pneumonia among children under 5 years of age are caused by particulate matter (soot) inhaled from household air pollution. Material & Methods: In the present study non-experimental descriptive research design was used. Data collected on 100 samples. A Nonprobability convenience sampling technique was used to collect data from the samples. Tool was constructed to identitj , the demographic variables, and a set of self structured questionnaires on knowledge regarding household air pollution Result: 45(45%) of people were having average knowledge, the remaining 41(41%) were having good knowledge and 14(14%) had poor knowledge regarding household air pollution among people. The mean of the level of knowledge regarding household air pollution among people is 5.76 with SD is +/- 1.89. Conclusion: Majority of People are having average knowledge regarding household air pollution. Based on the current findings, the mass awareness programme needs to be organized by the health care people as part of conununity health services to prevent hazards due to household air pollutions.","Knowledge; Assess; Household air pollution; People","","HEALTH","WOS","Knowledge Regarding Household Air Pollution Around 2.6 billion people cook using polluting open fires or simple stoves fuelled by kerosene, biomass (wood, animal dung and crop waste) and coal. Each year, close to 4 million people die prematurely from illness attributable to household air pollution from inefficient cooking practices using polluting stoves paired with solid fuels and kerosene. Household air pollution causes non communicable diseases including stroke, ischemic heart disease, chronic obstructive pulmonary disease (COPD) and lung cancer. Close to half of deaths due to pneumonia among children under 5 years of age are caused by particulate matter (soot) inhaled from household air pollution. Material & Methods: In the present study non-experimental descriptive research design was used. Data collected on 100 samples. A Nonprobability convenience sampling technique was used to collect data from the samples. Tool was constructed to identitj , the demographic variables, and a set of self structured questionnaires on knowledge regarding household air pollution Result: 45(45%) of people were having average knowledge, the remaining 41(41%) were having good knowledge and 14(14%) had poor knowledge regarding household air pollution among people. The mean of the level of knowledge regarding household air pollution among people is 5.76 with SD is +/- 1.89. Conclusion: Majority of People are having average knowledge regarding household air pollution. Based on the current findings, the mass awareness programme needs to be organized by the health care people as part of conununity health services to prevent hazards due to household air pollutions. Knowledge; Assess; Household air pollution; People HEALTH","```json
{
    ""countries"": []
}
```","[]","Unknown"
